iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
250,1.175115393099557,1.6965160964926265,1.6842234698556457,1.5278689970154504,3.745248804344254,1.7005097299057728,1.098980276545918,1.0234731360339462,1.0239509836275749,1.0090061722486217,1.0095599173832788,1.0190463348116268,1.0110237670843918,1.016423411003387
500,1.090807753816616,1.2357857665190037,1.2199855630027656,1.6146294211796506,1.8580599766384496,1.2168696725162014,1.022169241624261,1.012740855246219,1.01271333800533,1.0044415731572682,1.0053993173041145,1.0116914125671286,1.0049754565515145,1.0138015062116035
750,1.0613834519765897,1.2088111553913363,1.1926202023856842,1.5561725780833584,1.5692214326071423,1.130825188135182,1.0119133527697415,1.0105003985877334,1.0122105540356503,1.0015289473358067,1.0042672688613021,1.011271258739335,1.003618075093738,1.0107851747965497
1000,1.0509499991114097,1.2083326380871542,1.1939744411825126,1.5112542553855157,1.5614603050189548,1.1023240967873777,1.011262637746351,1.0083986466237371,1.0085873437206125,1.001770454112905,1.0027933380843113,1.0098146558991727,1.0036408309858817,1.009727020162675
1250,1.0356145028658885,1.1413105291887433,1.1340262117182178,1.5432706812814418,1.6460069328109832,1.0993700404630433,1.0076903094928071,1.0093329342024449,1.0064824674244226,1.0006500592150473,1.0018912565633928,1.008820201838154,1.002116762754839,1.010190088761127
1500,1.0264041132031259,1.0921462913837006,1.0853426218990145,1.5661043404965582,1.5304045337265264,1.0662562914835174,1.0058901251838361,1.0083668170216595,1.006267748005297,1.0002479678343856,1.000883801284607,1.0094033654036139,1.0025557267034308,1.0088037773697403
1750,1.0253908158375258,1.0701644502657084,1.0628553518486836,1.5357263702778903,1.4553071567248648,1.0766345486620137,1.0085114285175283,1.0072541825690224,1.0068002526299122,1.0002949524738043,1.001746745250634,1.0094101309119619,1.0029122819893292,1.008618356917363
2000,1.012878759420896,1.0427284034155877,1.038241570260282,1.4597490728064948,1.4082856101470016,1.0575935589294554,1.0077386325573334,1.0042971505459317,1.006137479940278,1.000161751784587,1.001270923744591,1.0067709961472988,1.0018229586889666,1.006449363214132
2250,1.0189966831411625,1.0424415056012335,1.037605462215643,1.298247505100808,1.3839426363287977,1.0571151875125064,1.0077558142015335,1.0046097583213875,1.007609153228624,1.0006721186777012,1.0010078098763515,1.0066328079851283,1.0019327373932017,1.007786296459433
2500,1.0188566791021931,1.038617518451283,1.0341534285182221,1.2688801126640177,1.4070008878846458,1.0524052207593484,1.0091875760264502,1.0038653920576939,1.008006379568115,1.0006489765913922,1.00081830777116,1.0068663316966024,1.0018706891487916,1.0076114274451924
2750,1.015847289413067,1.044907180107797,1.0403183025709222,1.2515849793126175,1.4144614872810963,1.042718806770034,1.007273749424478,1.0034079630751833,1.0069088417922982,1.0003405636911695,1.0007641028900707,1.004851851762986,1.0018733130858846,1.0066387745902037
3000,1.015292197841661,1.050950923659793,1.0467633259011189,1.2183315701833684,1.4241780877300152,1.0409176623543581,1.0069883465182032,1.0025954450635564,1.0063592406787665,1.0003908367964764,1.0005943476263046,1.004320535853363,1.0021344614527878,1.0053011644867018
3250,1.0160739751453562,1.047462663010247,1.0446700894158938,1.1716131578135454,1.4301988214684547,1.0304180720747134,1.004730378581476,1.0027602922334378,1.0060438599983639,1.0003451913194288,1.0005940549463508,1.0046052477645486,1.0019087578650236,1.00522663057593
3500,1.0126776144105887,1.0421476392375666,1.0403120004856705,1.1316003588588917,1.3901044937227258,1.0255138232432393,1.0038824870982517,1.0022686902438878,1.0053360342747693,1.0003437293321995,1.000538972818443,1.004309633942766,1.0014239283138524,1.0048198095545189
3750,1.0087069858648021,1.0428653825314536,1.0427128573869553,1.1150489111775033,1.3576232658877028,1.023016087861916,1.003391515161004,1.001771871756547,1.0040240104447051,1.0003498692123998,1.0004530640548983,1.0031632456993442,1.001309605070176,1.003772483709309
4000,1.008234005107967,1.0380576595016036,1.0386826896654677,1.0933161554621125,1.3140352959747377,1.0209624544051497,1.003315248623465,1.0016025171181806,1.0035356610313735,1.0003599349626917,1.0005663925757269,1.002655891825056,1.0011898266444668,1.0031746098038752
4250,1.009298378287196,1.0426802176936243,1.0425794491074472,1.0753017938708038,1.285425409329421,1.0196174518529235,1.0026215080635263,1.0015931342332933,1.0035863483382716,1.0005215902521558,1.0006000802189654,1.0024780379977327,1.0014381703149922,1.0032027091136582
4500,1.010593817627533,1.0454487971213482,1.0449092432685156,1.0760924733765203,1.2616998476397185,1.0175646126891316,1.0019564193634516,1.0016435881927357,1.0038451790121843,1.0005159034101772,1.0006103281933112,1.0024400410614218,1.001572610001039,1.0033654991422587
4750,1.0126856732719542,1.0483546670753487,1.0478502402141743,1.0784995921761311,1.2358795018298496,1.0164212380355704,1.0016186297501428,1.0017836396530064,1.0040819802029715,1.000505267782182,1.0005387913194463,1.0024910334339778,1.0015992623555825,1.0035287568770688
5000,1.0106471568003503,1.0401945545227462,1.039594504021843,1.0833495487940918,1.2011494218337844,1.015504162655441,1.0011529461474478,1.001679629989427,1.0039678729776096,1.0003576090385053,1.0005424417910962,1.0025105433383412,1.0013114862763495,1.003226238145952
5250,1.008602687726056,1.0360176747456762,1.0353816046050242,1.079191011888408,1.171930882288381,1.012216692426501,1.001040770442802,1.0012213407793655,1.003324046120681,1.000313924709804,1.0005716082221707,1.0019879712635376,1.0011145564416448,1.0026209207616004
5500,1.008401447969367,1.0332270507042245,1.032707499795217,1.0725818488362322,1.146910032791979,1.0113129674213732,1.0009219712536688,1.0011914951976773,1.0032789932972666,1.0003320277883156,1.000538486739501,1.0019589015143051,1.0008163664425203,1.0024156249286125
5750,1.0082582909248288,1.0303378055382642,1.0300531456154711,1.0673799535487192,1.1281018742220164,1.010561252833176,1.0006880854240845,1.0009267866264506,1.0029855644697678,1.0004827782130319,1.0005872675001122,1.0019205844841315,1.0008977539514792,1.0021456134923505
6000,1.008069383422121,1.0298894982168976,1.0295678893488445,1.0596249984259352,1.1126066810600452,1.0114358491320221,1.000541230402411,1.0009583375247784,1.0028597591728667,1.0004749586723853,1.0004615338078386,1.001722721803502,1.0007726018414842,1.0020683973539168
6250,1.0088214121453103,1.0284787952538492,1.0278773193495687,1.0593247207267615,1.106315650141748,1.0117782251152025,1.0007156591765738,1.0010208202809598,1.0028044988502895,1.0004916545914833,1.000459067551376,1.0016645740272556,1.0007646181493695,1.0022204583927186
6500,1.007958371397392,1.0242969745380386,1.023856813872746,1.0631970285534549,1.1045737869135117,1.0118841023283824,1.0007641440784936,1.0009309099864,1.002509129730031,1.000467825667437,1.0005197930018446,1.001521688363803,1.0006835014804905,1.0019734380420893
6750,1.007584639896316,1.0234181554948367,1.0229153292121822,1.068897560798971,1.102199322356388,1.0117439186922437,1.0009028243550067,1.0009524008979043,1.002337062340937,1.0003835772335048,1.0003870249308406,1.0014706767027473,1.0005414591880024,1.0020555107485607
7000,1.0072883012582998,1.0212972336686268,1.0208426908088213,1.070223705815667,1.1031802461362326,1.0115402729393577,1.0007001207070045,1.0009457482828423,1.0023547910215058,1.0003075051939834,1.000306162754158,1.0014661771163667,1.0004158036085857,1.0021462221351245
7250,1.006510727478833,1.0191001871940382,1.0189117327558848,1.0708644472795599,1.1021544916586554,1.0121592190132658,1.0007891929420982,1.0007565352387016,1.0020716040519626,1.0002819929046534,1.0002940213001024,1.001341490298055,1.0004302078506628,1.0017666267809555
7500,1.0051963670188562,1.0177812384232325,1.0176679147904455,1.0757276008692849,1.1001940911627102,1.0160354851939346,1.0007644965999019,1.0007133360921,1.0018268972004025,1.000259239941137,1.0002553091898685,1.0012052317712827,1.0004144927266259,1.0015912235975937
7750,1.0056276618104363,1.0190928075635377,1.0190532509096308,1.0773700892528204,1.0979165120817755,1.0166716289443913,1.0006325602112527,1.000887786871354,1.0019008927366069,1.0003435042196773,1.0003107312232422,1.0012445859135852,1.0004519002122865,1.0015788194290787
8000,1.0056307133777056,1.019094291706415,1.0190362879054562,1.0761340076155077,1.0938338791310973,1.0180528459291731,1.0008307175813411,1.0009790070510327,1.0017092025679553,1.000317005643727,1.0003248719031723,1.001288818559582,1.0004537851131714,1.0015179783954373
8250,1.0058242626589016,1.018380477816838,1.0182234351811659,1.0742417693300383,1.0893785759043726,1.0184442325675849,1.000791329924507,1.0010173085372474,1.0017705846726441,1.0003387623334217,1.0003640059491443,1.0013022050022526,1.0005280422499185,1.0015890270586376
8500,1.0062051511694692,1.0177052274008944,1.0177465705033844,1.0707532280968106,1.083241706288584,1.018041113633741,1.0008367839964007,1.0011305507186885,1.0019241194445838,1.0003325581049247,1.000460996463597,1.0013484220720021,1.000536943960867,1.0017116240710473
8750,1.0053903400560769,1.016401715345101,1.0164167356738545,1.0677838539212554,1.0792714529045846,1.0178357771341169,1.0008891499251007,1.000966106974634,1.001777967033044,1.0003478708250464,1.0004444434440154,1.0012084099682694,1.0005304193061149,1.0016090550437506
9000,1.0054706056281382,1.015915157619445,1.0158551572626828,1.0693429965365142,1.0756256500458918,1.0171724993711282,1.0009109641425176,1.0009414893091468,1.001730944157529,1.0003665017540504,1.000466878340625,1.0011456583815528,1.000536455515119,1.0015174713260775
9250,1.00565466363459,1.0156835245390976,1.0156183826986662,1.0660685849511822,1.0754536802849168,1.016561049858114,1.0009460466554763,1.0009799439789608,1.0017061806712564,1.0003864774774909,1.0004582054291784,1.001155206325649,1.0005246992075363,1.0014630590878673
9500,1.0050434276796143,1.0133976327826284,1.013327270095156,1.0663790035041079,1.072260079420561,1.0157731527075045,1.0009808812798233,1.0008659046306587,1.0015101280847452,1.0003276846694669,1.0003869463592223,1.0010194662542224,1.0003916814207603,1.0013749332749307
9750,1.0048960092032238,1.0141347912880796,1.0141523565015838,1.0699177326045326,1.0688389869269093,1.0151606625764973,1.000876533739294,1.0008310351042968,1.0014060846212014,1.0003121163980335,1.0003486252151395,1.000955713518518,1.0004241590683223,1.0012955923281595
10000,1.0050999466579669,1.0140852083707992,1.0140865754198258,1.0713528957995084,1.0656130059300872,1.0141914425216945,1.0007241116969454,1.000779878481917,1.001340039649452,1.000264881140173,1.0003519626804558,1.000948965476418,1.0004603589179986,1.0012891283831697
