iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
250,1.1149009250134008,1.3099255830958954,1.3291044349986916,1.7446694072263316,2.50726074714916,1.1139442363692869,1.1186035744590521,1.048505926547521,1.0298137188872751,1.0232917385614166,1.0142163080547508,1.013940555652947,1.010726487300916,1.0078294875312923
500,1.1029166347648343,1.3043720380545774,1.3050675685865831,1.626329356293398,2.154844952909347,1.1159441239034702,1.0415995526920927,1.0234082508013236,1.0178903481307864,1.0099328609243006,1.010828681229852,1.0058368111364364,1.0070734081698185,1.0046453449697978
750,1.0710890990765223,1.2485719890782363,1.2531364155689115,1.6125713708480292,1.9556809961674342,1.138269363458024,1.0140097080427968,1.0175047256051588,1.0173768917253074,1.0077248311895979,1.0101608692299717,1.007630429533464,1.0086843353289867,1.0056335740398827
1000,1.0458400244071766,1.1664654236248355,1.1722374390646801,1.450480529401194,1.8603660925027283,1.0738597358287605,1.0088316616814779,1.0125659595880911,1.0085180757885668,1.0051722973973505,1.007479722273114,1.004873328019862,1.0074650671159815,1.0057827176273184
1250,1.0300981569763161,1.108029725230844,1.1135713060923291,1.2381096022272458,1.7333050189635406,1.0513781707400753,1.0039603113519366,1.0101946960514074,1.0057302630965046,1.0036874368635316,1.0047818658150771,1.0034320784351078,1.0056074516273372,1.0040593359065066
1500,1.0178321908137826,1.0520744601401393,1.0565058743217068,1.1455627034829146,1.6229523770094267,1.0344552187968354,1.0042010024833485,1.0063760597020468,1.0040251277423435,1.0020944167774544,1.0029176266007587,1.0021447202073976,1.0035162682091918,1.0024806575329674
1750,1.0136168541262975,1.0370056284366194,1.0404741741962118,1.135162630818477,1.4721445784087552,1.023979071251967,1.0050537056606634,1.0056472044282148,1.0041131287086478,1.0021391654150107,1.0023836655657261,1.00274716081877,1.0032043633526109,1.0020199322469057
2000,1.0143259786424952,1.0329155232880585,1.0355431669007564,1.1543495938784663,1.3763733883428309,1.0199225921376633,1.0053149904422372,1.0049559152172682,1.0035109006798546,1.002220199548247,1.001942848890194,1.0026209434443187,1.0025456602013532,1.0014684623906966
2250,1.011001472591577,1.025616811410205,1.0282988692843325,1.153608799265606,1.308782682241063,1.0254442402198367,1.0057265778868463,1.0055495316188408,1.002333839051856,1.0014360724774023,1.001907653437494,1.0026138012026584,1.0022179001582907,1.0014708492017481
2500,1.008871332230147,1.027108274866205,1.0298214005319608,1.1111992985177275,1.2802228305113945,1.021874088545102,1.005041358814727,1.0041954243725049,1.0017553301935842,1.0010786915587904,1.0016206395923488,1.0015017375785613,1.0024046132552775,1.001310615393825
2750,1.012632094088163,1.0262194322937632,1.0278177825690875,1.0855242402062482,1.2394318079408244,1.0208660712568491,1.0047009127334443,1.0043527262175924,1.00162934714831,1.001944547770705,1.001783311158903,1.0021161051317218,1.002313468292475,1.0011897377868155
3000,1.009174791064723,1.0212058917009394,1.023447364893477,1.0799694815993202,1.2320484080223415,1.0153257773834838,1.0027460635420558,1.0024406238280763,1.0015121782986194,1.001264269047727,1.00112466341029,1.0018059452652406,1.0018211269087747,1.0005948674685057
3250,1.0087550403253254,1.0282277971943148,1.030818970627189,1.0593044761891626,1.2373468812479167,1.0120345243619406,1.0029009169452747,1.0017744643688773,1.0018651863948367,1.0012208498610533,1.0009661907706444,1.0018988575594348,1.0018181344179642,1.0006171201121914
3500,1.0091147464904828,1.023522943760313,1.02570238708458,1.046668395199722,1.2353904608630373,1.0116507021707284,1.0026806203198413,1.0019526207543676,1.00201175098766,1.001340402247786,1.0008477347701352,1.001420332702742,1.0011781406741538,1.0005201305905846
3750,1.0064587651704233,1.0218676489415375,1.0238790341838675,1.0377651202034255,1.2291664038415115,1.011319964569651,1.002715061868431,1.0016361062163486,1.0014229223919318,1.0012533727409145,1.0008771980352893,1.0014380773889593,1.0009805836259966,1.0004126800893378
4000,1.0063286296083922,1.0215577205116713,1.0233777229614278,1.0342722924742809,1.2055818244084813,1.01306448292634,1.003122717099317,1.0020073337723658,1.0010631267130752,1.0013188647695166,1.0011394720357858,1.0013639025258696,1.001176951923422,1.0005928455160238
4250,1.0045753157687953,1.017919109804904,1.019745599009383,1.0378466963844155,1.186376453995894,1.0133551623440997,1.0031927476738136,1.0022840523298615,1.0006231426842707,1.0014012552489462,1.0012844260670928,1.0012648847930872,1.0011372682248112,1.0008613805189523
4500,1.0041527177358798,1.0149512497614837,1.0164327924401235,1.0462685033188732,1.1744198006072635,1.009431655514333,1.0024355057558676,1.0022869567406327,1.0005799963140416,1.0015308253965378,1.0010065531223935,1.0010525463289572,1.0008469185081212,1.0007260761426957
4750,1.003571536051627,1.0114733012787744,1.0127520531319236,1.0536040409616827,1.164734270580237,1.0083596468682834,1.002786909449655,1.001862621091549,1.0005246579408482,1.0010579082265612,1.0009928514495103,1.0008263267944355,1.0008775376912329,1.0006332357246417
5000,1.0029502152436167,1.010175028174952,1.011249040007477,1.0558833617921328,1.1597123718778304,1.007828358532229,1.002067809588104,1.0016748105605766,1.000457390261238,1.001006269986942,1.000823088400486,1.00077101211938,1.0008074464119974,1.000597530171232
5250,1.0035291966754536,1.0101184849909814,1.0108185099131948,1.053270449122425,1.1567575470738631,1.0077008599627961,1.0018344246389985,1.0017106235479711,1.0006093658139468,1.0010212189597345,1.0008786099659486,1.000791912224132,1.0009339515585425,1.000775914906165
5500,1.0027918588525833,1.00720238115775,1.0078553185287826,1.0543543118695802,1.15067138781124,1.0071872510183713,1.0016552376713417,1.001552308835499,1.0006105050200444,1.001032220416687,1.000717627856183,1.0009268644839318,1.000658255850279,1.0007574121711806
5750,1.0030689816181095,1.0081027890345162,1.0083346874390795,1.0518777025407666,1.1497374048354674,1.006920229582049,1.0014427860466508,1.0013924492520598,1.0005848747425312,1.0010125627667465,1.00080017759303,1.0010049364576483,1.0008864755797937,1.0009371831484057
6000,1.003381827303729,1.007943856805156,1.0081854287116687,1.0509003732935545,1.136526211921036,1.0063497027823525,1.0010013265463136,1.0011781357502003,1.0005977741090983,1.0007872720931972,1.0008496242079077,1.0008176264836555,1.001018497248005,1.0010633275472949
6250,1.0036772253040092,1.0082723657299697,1.008455146890791,1.0506100672343175,1.1233438956269104,1.0048232126079617,1.000965075494609,1.0011297107153827,1.000572897483461,1.0008640297830473,1.0008738673538848,1.0007721003884102,1.0010689169114106,1.0010631363201097
6500,1.0038949837613071,1.0074871428377286,1.0075676550366373,1.0518892508532744,1.1168374794993121,1.004191887846603,1.0010106523619142,1.001105085138993,1.0005834596603487,1.0007943644934791,1.0006360193248827,1.0007798623013415,1.0008091060880968,1.0008907253698542
6750,1.0042955955896575,1.0069829703168829,1.0070085804614188,1.0484420425844547,1.1152411438198306,1.0072931700929042,1.0011649110535665,1.0010589870469233,1.000662262730275,1.000810943498403,1.0005779545083733,1.0009514128761683,1.0007409658687445,1.000708009914568
7000,1.0043954620215725,1.0066067089027904,1.0064887391576791,1.0458177743100996,1.1180671033446352,1.0078515394872334,1.0009394527167967,1.0008427002266986,1.0005162404034058,1.0007643621548385,1.0005116440897683,1.001045525532658,1.0007373740858008,1.0006979400265437
7250,1.0040684107928861,1.0072741683919744,1.0071323597043702,1.0427314864839907,1.1184653828436424,1.0081454226367477,1.000910381192786,1.000702101141775,1.0005774062850255,1.000744603930557,1.0004730290156976,1.0008747901535202,1.0006772886472235,1.0006747983261293
7500,1.003830089593647,1.0068505811870785,1.0067202524889234,1.0390328352631584,1.1111515190443482,1.0076190619181842,1.0012899858749709,1.0005026204978058,1.0007015473168737,1.0008317602613486,1.00032206079615,1.0007855869177293,1.0005225928454438,1.0005809136063235
7750,1.0044048806373556,1.0076825361797577,1.0075145382309598,1.0359164848254254,1.0969758165271974,1.008544309894796,1.0011483552838805,1.000472937067231,1.0008162953706765,1.0008669914131738,1.0003002119263924,1.0008128948727604,1.0004891685791055,1.0005300036204927
8000,1.0042021404922474,1.0073163491212063,1.007261905794483,1.034770895796138,1.0895558925430353,1.0084057298248077,1.0008769611520243,1.0003723687497252,1.000903455213085,1.0007700503065347,1.0002714253533451,1.0007786963294023,1.0004563855160975,1.0005072684443148
8250,1.003515569069768,1.0065950287442458,1.006671555961256,1.0315642621346535,1.0868728695490266,1.0072016281035607,1.000656251531342,1.000317759580167,1.0008108890529506,1.0006033110598072,1.000335652103361,1.0006923257451679,1.0005251056532722,1.0005763014019833
8500,1.0030506130661734,1.0049414037450886,1.0049272341516429,1.0305825167847507,1.0856358251404363,1.0063738678256509,1.000693043834694,1.0003950994759785,1.0007386128853835,1.0005474241480987,1.0003265489328004,1.0006607816643247,1.0004571085254317,1.0006204375254693
