iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
250,1.194704319521829,1.408143278071186,1.4132524040552492,1.7901979133073307,2.5527274932761115,1.0699869893189722,1.031552926472189,1.0080340212890901,1.0080985808516958,1.0139504055224395,1.0201165740573919,1.0140318497262295,1.0196627095257467,1.0183090585377301
500,1.0540306160720772,1.1984609396394041,1.1987178734755413,1.6458330834865622,2.1455283691267573,1.1088317629930384,1.0351040960296523,1.0092018936301463,1.005536600523018,1.010603530599376,1.0106026032424542,1.0092049265164842,1.0069699971710038,1.010341979844665
750,1.0276139520219707,1.0662674668512937,1.0687591533534602,1.5789063598373922,1.8354667574858843,1.0972538419136577,1.0263102315061587,1.0087062133264797,1.005295347680319,1.0061525528668689,1.0058164179999343,1.0103599255556048,1.004785330957747,1.006387033407347
1000,1.014819117111859,1.0687347166424164,1.0705203822927065,1.5207920155349093,1.717565471541202,1.1114132233769043,1.0113427185014714,1.00364796415774,1.0033229752818773,1.0030424130175457,1.0027604551701617,1.00451458096582,1.002366713493017,1.0029006063142998
1250,1.0186863535687463,1.0374032935838398,1.039003782617376,1.420207076849831,1.644064156483121,1.0739087949422126,1.0071920199547462,1.003842887047845,1.0029523163518324,1.0023883344266995,1.003051877964885,1.0023884675192722,1.0016532090886672,1.0011268831986904
1500,1.0160697744458977,1.0259807888776424,1.0277685031013204,1.3871501508142223,1.4079184086822334,1.0711402435569937,1.0103532642226536,1.003488048567612,1.0021554355537945,1.001747350568668,1.002322428601951,1.0022568533368914,1.0015359745556915,1.0015200516897482
1750,1.009340608818287,1.0231380621754065,1.0241515389018432,1.3197688297733507,1.2273864120338995,1.0684347969050634,1.0096608064772563,1.002777549483281,1.0011866077985156,1.0013134128967565,1.0011286555895014,1.0021775513836366,1.001513669774267,1.0016019827745108
2000,1.0109596863722128,1.0293667541312368,1.029103113264584,1.2315771407543001,1.1251093415020745,1.0434114681571096,1.0064487846476922,1.0031240099262764,1.0014588176530121,1.0008305376386277,1.0021574399720958,1.001990207776885,1.0023663878173446,1.0021763989851142
2250,1.0121048451300991,1.0239097331180635,1.0225687263795729,1.1976789076953585,1.0993460458462145,1.0392402405362846,1.0057821305825458,1.0025231837568715,1.0016622202367116,1.0008666639554595,1.0016999617452342,1.0015643538532293,1.0023241739239872,1.002105082909658
2500,1.01246307934217,1.0222591622691137,1.0216811288307281,1.1836231462540292,1.0940037886278027,1.0511970785765699,1.003532900345396,1.0019618829614152,1.0015985121614273,1.0004457845324706,1.0018388186150515,1.0010032764260113,1.002018109927254,1.001956899222512
2750,1.0131213710552522,1.016586259889894,1.0162320608338278,1.1851225805244991,1.0987091103170912,1.0568920975237508,1.0058564976685174,1.0022657039166043,1.0016716193842088,1.0004183568493006,1.0019978257655575,1.000844309932676,1.0016461282722784,1.0020441277759558
3000,1.0124347160110279,1.0152251679653561,1.0148147641266712,1.1678925517967182,1.1068494836741136,1.0682854846270853,1.0062490252538936,1.002427981592537,1.001604991303119,1.0004237789101902,1.0017698447249872,1.0011143878775093,1.0019577885108175,1.0019441441793986
3250,1.0120285322885638,1.0146098403076376,1.0140409370057177,1.1390090340983365,1.0987798515437552,1.0764126609487035,1.0068311721380854,1.0016811593904242,1.0012803022337482,1.0003184989724005,1.0019388769184003,1.0007991726204861,1.0023547937825963,1.0020014325142652
3500,1.014520934973573,1.0126905083167272,1.012673210455814,1.1237555010577704,1.0787115080160832,1.0710780070131727,1.0065160467006178,1.001480479839497,1.0011688792111089,1.0003373763979064,1.0025132841141637,1.0007177577604898,1.002512891314999,1.0021242714719438
3750,1.0161309116963255,1.010799918322258,1.0102155609092667,1.1129994270832417,1.0681036174796583,1.0635696657183058,1.0056671550635508,1.0011645853284452,1.0008308254032745,1.0003805020341572,1.0031199107169915,1.0006135952451143,1.0030738897453833,1.002519194083939
4000,1.0170690641110385,1.0084860637678965,1.0082179991032936,1.1154668828400518,1.0672850819984334,1.0518815558613535,1.0043939957274912,1.0007070932880173,1.00055492935466,1.000345564201941,1.0031084414254825,1.0004680319991552,1.0027950951433326,1.0023072628690224
4250,1.016178914299019,1.0076651577116784,1.00744877191408,1.1116534224562908,1.0654937210988136,1.042870345241835,1.0041731760027734,1.0007446980066497,1.0004380109622297,1.000496581815936,1.0030002456679894,1.0004254406219546,1.0026400534000566,1.002025555801897
4500,1.013427591790097,1.0110865822171708,1.010925802886463,1.1060377765478808,1.069204580881258,1.0404561300656987,1.0041473023256042,1.000765550990156,1.0003466360470998,1.0005195233670816,1.0024858675982338,1.00038642081238,1.0023084261619686,1.0017600446399884
4750,1.0129574776113615,1.01244019594088,1.0125344478293992,1.0916030371249257,1.0744244514801962,1.043258390363748,1.0037719949972421,1.0008646800651329,1.0004385723278781,1.000499840937326,1.0023712059835785,1.0004038087041396,1.0023126684591177,1.001783798587153
5000,1.0103174717286478,1.0095238952555778,1.0097967764909586,1.0773285475148526,1.077099922680271,1.047217429934671,1.0045907987858134,1.000958006473866,1.0005095714633068,1.000454967818033,1.0016248407441557,1.0005135389082662,1.0018687900691565,1.0012471561598828
5250,1.0108510536729627,1.0110310545429335,1.0115842686839593,1.0675694015935793,1.0799075814594394,1.0509658141507663,1.004958644138622,1.000783572547776,1.0005453781741835,1.0002264348931718,1.001730420598897,1.000429164562351,1.0022106369486263,1.001643218991856
