iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30
250,1.151016527636799,1.1202207179391073,1.1183300319622729,1.5208216460236776,2.30501347511467,1.1531500590825583,1.028522138534363,1.0225062875742312,1.0394308474705083,1.0247298564561116,1.0403778356471995,1.013085794359994,1.016515707850691,1.0378688146711577
500,1.0599360907930309,1.031011875145508,1.0278481388815046,1.3224022377292568,2.094167751909004,1.1642613368681105,1.0279971257627714,1.0171975731198566,1.0110142992078524,1.0229877281448414,1.0096206741932852,1.0132410828623852,1.0040716861572803,1.007716875051191
750,1.0621732159764465,1.0400235121096695,1.035765637290597,1.2492146637441732,1.7510950312188318,1.1599151759874853,1.016613188777136,1.0131636759636065,1.005292277434261,1.0254830832656685,1.0042573503732544,1.0143429675774391,1.0043625103211193,1.002901637860659
1000,1.033876039899233,1.0377776052035215,1.0330439807550398,1.2436807036514597,1.6311690696767236,1.0936761498432788,1.0167361570742033,1.0140574501008983,1.0056982083359562,1.0110429386894133,1.0016931931705477,1.006523180438577,1.0024676309885636,1.0023982420189432
1250,1.0232497073946978,1.024853557061327,1.0244985516014846,1.2866026481581119,1.6507579355633546,1.092386516874571,1.016453419161626,1.0082119100251614,1.005273188270313,1.0047688048741052,1.0017508698382875,1.003518416560922,1.0016246889172176,1.003604192437463
1500,1.0188751802393279,1.0336845888377955,1.0320958285886441,1.226911685139009,1.665135856458884,1.0913099088683507,1.0144688963962736,1.0049318311898652,1.0046618099990514,1.0044282100688,1.0013028830754676,1.003538367610152,1.0020431400642043,1.004435543653614
1750,1.0156406403634115,1.040376658751381,1.041397032631194,1.2147326864385317,1.6706121558472238,1.091092817213022,1.0119528035798644,1.0033926888880718,1.0046579411548955,1.0052016118169884,1.0008348249933807,1.004601845093281,1.0014924148315372,1.002974662832163
2000,1.0105145206569848,1.0374902335824225,1.0365683061558357,1.2231979103080428,1.6238118226715785,1.1258087819807223,1.0093822999620625,1.0033312704069597,1.0042646981136925,1.0045884656121484,1.0005892176347495,1.0039964614364618,1.0015310673816276,1.0027660043110278
2250,1.0091774592922063,1.0367609228836114,1.0361106019445412,1.2142091218440192,1.526662059488968,1.1108803098311886,1.0061123889976233,1.0031336754440243,1.003739573472662,1.0033819101856398,1.0008320850156174,1.002640625626105,1.0012867566492252,1.0024953716516698
2500,1.0071512946321863,1.0288505765859894,1.0280044777722694,1.20140414533172,1.462820928302203,1.0849796324383434,1.0065946717818635,1.0030228298001567,1.0047960789195693,1.002615073285649,1.0006993673022704,1.002712278415672,1.000846815404019,1.002110358361177
2750,1.0058966178642015,1.028930037181151,1.0279338835649496,1.2052608563260043,1.4110090912217244,1.0758810199818118,1.007156705657438,1.0034207171084524,1.0050186899789673,1.0024003522156801,1.000911299953373,1.0022546321068457,1.0009181767417523,1.0025007173829332
3000,1.0070331011214535,1.032016319424251,1.0309065174427785,1.202840278736657,1.3525120701048887,1.0762112187311472,1.0052040320390114,1.0034289415546547,1.0034470624114207,1.0025440977728817,1.0005271446392412,1.0016531214265234,1.000791039106193,1.0019947879862072
3250,1.0079407743427202,1.0352190771367515,1.0335952451004993,1.1736867351381042,1.3276589177450153,1.0614805917103798,1.006437697215517,1.0035211405915303,1.0032061026306793,1.0024635821549337,1.000722803382593,1.0016835534508068,1.0004469024452138,1.0021375189549562
3500,1.0084941554397282,1.0327110309024174,1.0312152761461608,1.1482564407720066,1.3169195683813872,1.0506099355458287,1.0071571853377577,1.0038129730497631,1.0029702115029697,1.0023329805190575,1.0009500104459603,1.0023348163664771,1.0003819295851861,1.0020998059227189
3750,1.0078461151367684,1.0343466631713834,1.0326290039960948,1.130564003500585,1.307440401162365,1.0454139678649468,1.008533754516313,1.0036628509269245,1.0026826133769668,1.0025350816887588,1.0008988381604365,1.0022522326666568,1.0004532210065231,1.0019890414163164
4000,1.0082803646492635,1.0318336514939552,1.0303417435586022,1.1069166519500253,1.2570135319053943,1.0424751085217194,1.0071143211495226,1.003661494658966,1.0025063290632472,1.0025775313262992,1.000938222460893,1.0020329838745132,1.000532069842867,1.002021391503764
4250,1.0129697936833915,1.0329542636752092,1.0315543922529102,1.0819835305204988,1.2138233552161848,1.036852612240885,1.0071239331315596,1.003257651797752,1.0019634114442666,1.0030153016573484,1.0013619045292275,1.0020726377456048,1.0007850566441794,1.0021371047201209
4500,1.0114490319266285,1.0320435910596406,1.03073561497416,1.0648005228786213,1.1802393128593471,1.0378202972932915,1.0066478952378455,1.0028140118580284,1.0017660159522817,1.0023967064481325,1.0013354382787278,1.0017954334561325,1.0007890049180062,1.0021587029517394
4750,1.009264344640758,1.027054078220679,1.0256931330443069,1.0648968513681272,1.1477360371995167,1.0332428839755095,1.0060169499798721,1.0025433730155076,1.00178747331358,1.001865040033113,1.0013408941598203,1.001554472960609,1.0007764359793714,1.0019490981892403
5000,1.0095164562218384,1.0229776055933224,1.0214497477738624,1.0647167994654951,1.1190805420506045,1.0298467874932449,1.0053970615107286,1.0027159480499017,1.0016262146075483,1.0016462991581419,1.0013648905020436,1.0013175804678578,1.0007972410322585,1.001800845481153
5250,1.0099958766553057,1.022165209401291,1.0207143141941122,1.0738232446969287,1.0978594594811892,1.0283539581835666,1.005262940158271,1.002618178417443,1.001881436159757,1.0012143831428706,1.0011120004257559,1.0012741621549086,1.0006949315493232,1.0016242248178415
5500,1.0083237917330163,1.0172449105457366,1.0158765919314063,1.0744976634355414,1.0811083879888006,1.0274480763973806,1.0051482510347367,1.002332789672878,1.002292438411382,1.001021330862154,1.0008895844411398,1.0011246926939994,1.000503450698606,1.0012726443331537
5750,1.0071014120326574,1.0172154709835362,1.015900415961025,1.0619156803262628,1.0650061521485494,1.027764102149104,1.0044073908760223,1.002178874444923,1.0021222309554185,1.0010046731317028,1.000754752414404,1.0012405124480432,1.0004264244694974,1.000993859156142
6000,1.0062062097461784,1.0159573055587987,1.0144825137934952,1.053676052280844,1.0587972200374778,1.0257617319168957,1.0036511134552522,1.0021263819150255,1.0020664612886796,1.0009153232188475,1.0005675329086818,1.0009416682581849,1.000361087405374,1.000892208186913
6250,1.005394199546589,1.0159359298863702,1.014388119637358,1.049292502991908,1.0563759823009797,1.0240750814411852,1.0037129434122165,1.0017480168514827,1.002042334974979,1.000937531789824,1.0006675199365378,1.0008215020222098,1.0003832305045604,1.001009749601279
6500,1.00550768185046,1.0150338391219396,1.013602273117246,1.0522565293560262,1.054973726138542,1.0260413562969672,1.0033484111760234,1.0016751104039265,1.0017652422088987,1.0010355967447164,1.0006477394160147,1.0007449361511624,1.0004665470416951,1.0009020061170302
6750,1.006012123098051,1.0152432833894467,1.0136538340017156,1.0576747776198896,1.050823238031218,1.0310386285612958,1.003452789590385,1.001960675415193,1.0016422470734472,1.0016198914908272,1.0007384990482568,1.0011135501849653,1.000460804276165,1.0008790515422572
7000,1.0055951274091905,1.0146022619802448,1.0129936823839294,1.0577760638348672,1.048898132633268,1.031256418192526,1.0032455376551426,1.0018291016782532,1.0016602682989362,1.001409937616483,1.000722765038608,1.000978876125196,1.0004245707771409,1.0008967995853177
7250,1.0055865483020807,1.0140034095680965,1.0122323413887921,1.057301145677897,1.0494675583745512,1.0301901000440743,1.002846488856718,1.0019546052800306,1.0016018714479336,1.0012051379423204,1.0007061713001955,1.000790203292696,1.000387344076088,1.0007318335827038
7500,1.0055391495055848,1.013752961193915,1.0120779048286752,1.0593381129986814,1.049772629980608,1.0281114507988212,1.0023379175019482,1.0017272783545976,1.0013206492902231,1.0010513889090416,1.0006736979341744,1.0008143118076527,1.0003129589776787,1.000820886100714
7750,1.005288887509631,1.0124403918208533,1.0110521783738973,1.060746696634638,1.049456192035923,1.0278405913156146,1.0022590550424235,1.0012702223476921,1.0010534011132262,1.0010019393017682,1.0005782836682886,1.0006955682588108,1.0002287297299324,1.0006479820630747
8000,1.0048631731781803,1.0115663330122324,1.010216409089729,1.0591358377051525,1.0522795907623326,1.0281680005619054,1.0021099161096763,1.0011469410477585,1.0009260212493547,1.0013498224932869,1.0005182579840062,1.0007321422955242,1.00015812458775,1.0006154604841178
8250,1.0044772690601849,1.0125597074419224,1.0111079005832078,1.0556096139133868,1.052797602716481,1.027188396650465,1.0020708015156294,1.0009512706684829,1.0008156428070176,1.0013797874968824,1.0004435473585978,1.0009205400880172,1.0001366944970436,1.0005234013846454
8500,1.0044764292875545,1.01234624673517,1.010998397716835,1.0536386683859218,1.0514128188466938,1.025455164796719,1.0022075893612699,1.0008492253177474,1.0006223478197522,1.0010874573874218,1.0004194217595692,1.0008113832129342,1.0001419997040863,1.0005196241372691
8750,1.0049235631768314,1.0106536581997867,1.0095145979658693,1.052112533217374,1.0524388206144057,1.0242342872416652,1.001919916829537,1.0007413769471216,1.000545478620054,1.0012920231278986,1.0003374850352351,1.0011326644540373,1.0001558649446336,1.0004376561230643
9000,1.0049273709418334,1.0107732095561284,1.0096984541098721,1.0525745409027747,1.0504264727453025,1.0226537856861642,1.0018617520786839,1.0008450862617693,1.000624077945374,1.0014877899492354,1.000319148319925,1.0012272020726634,1.0000974037435677,1.0004482559333354
9250,1.0041567065079882,1.0093837296933472,1.0084776299951288,1.0555579561822448,1.0510171939909416,1.022163728251655,1.001530201370092,1.0008951173368137,1.0005457975546075,1.0013658900450773,1.0002237196196309,1.0011707638847474,1.0001165715263332,1.0003258761513762
9500,1.0036832509464084,1.008225986260474,1.0075011929381115,1.059097046288736,1.0545812517681856,1.0214926865871157,1.0013531319939875,1.000848654842346,1.0006690440614345,1.0013472545990134,1.0002113063962224,1.001026483159772,1.0001224297581846,1.0003539912599868
9750,1.0032089439509935,1.006530530282034,1.0061739789647626,1.060076852787706,1.0564537466732629,1.0172646657678044,1.0012738762339966,1.000890117867643,1.0006535145016235,1.0012821794123759,1.0001830920528894,1.0009207291412578,1.0000893237424597,1.0003955429637186
10000,1.003118778350512,1.006250715872207,1.0059755367481424,1.0599529993564667,1.059113130301249,1.0158536153151765,1.0013051727623126,1.0008978163200104,1.0005894477579589,1.0013774659630759,1.0001959047915192,1.0008441659113274,1.0001101075830987,1.0004697922110342
10250,1.0034827539586584,1.0066895718455846,1.0063934094704015,1.059202187693362,1.0599605365701725,1.0161924194401524,1.0013581501558406,1.0009877446955755,1.0005632419504302,1.0013530241675097,1.0002136456734496,1.0007666632415195,1.0001136295100213,1.0004277310643233
10500,1.00327046220129,1.0069149249081533,1.0066182423408467,1.0585896603053095,1.0609675065565458,1.015322560449085,1.0014328179952234,1.0010048928144955,1.0005230850624278,1.0013297886273547,1.0002205010174359,1.000711841905386,1.0001044304546465,1.0004083235182089
10750,1.0032860482579982,1.0070993410445856,1.0067656712919284,1.059275984000411,1.0610085004273508,1.0146678124233333,1.0016544491753387,1.0008999866154147,1.000553738857569,1.0013890689018714,1.0002377569950007,1.0007892013139637,1.0001021769925722,1.0003831471677622
11000,1.003285265531999,1.0066908124858396,1.0063606898544342,1.0592730865383573,1.0560677342370832,1.0149832524979685,1.0014264399375623,1.0008872551870294,1.0005003450517387,1.0014279593277509,1.0002331098695671,1.0007694937115392,1.0000835827335774,1.000379525850515
11250,1.002851270672907,1.0067852576272456,1.0065166825796625,1.0564128669256165,1.0508250115555697,1.015041169086413,1.0013570192232837,1.000717137788098,1.0004700672758966,1.001325630018616,1.0002661328509552,1.0006920516800548,1.0000943574007761,1.0004790766481642
11500,1.0024763014149094,1.0065140232902599,1.0062691683286735,1.0568384014488208,1.0449978532114164,1.0154584253782692,1.0014949078578992,1.0007496562709899,1.0005144288877323,1.0010879600055318,1.0002516909878303,1.000542884814748,1.0000842982371447,1.0004929113488379
11750,1.0022734323437743,1.0056555479819462,1.0053405971067273,1.0587812093510063,1.040149555759406,1.0142263372820093,1.001606148677319,1.0007518924851582,1.000533603991252,1.000937681913305,1.0001976970021156,1.000466383237368,1.0000819597567574,1.0004601214637858
12000,1.0024124849360547,1.0053926855371138,1.00505932958424,1.0601044960374648,1.0372103164855726,1.013158588448576,1.0015649181536945,1.0009209498708782,1.0005355470732757,1.0009571320623831,1.0002029946863533,1.000448509694625,1.0000771421928425,1.0004491585320954
12250,1.002109218098795,1.0060982036860673,1.0058457356545412,1.0605026279051837,1.0362074355044182,1.0131737123208104,1.0015911353471447,1.0008716902162091,1.0005692756351912,1.0008679588101723,1.000174116460205,1.000459190830895,1.000059250661234,1.0004274503264035
12500,1.0020655554561126,1.0065246804473666,1.0062802863301654,1.0615275731459706,1.0367412378746574,1.0114263439432665,1.0014700270562504,1.000871330033628,1.0006292467710294,1.0009093206058595,1.000148893643314,1.000523078780391,1.0000508489634365,1.000375830780864
12750,1.002309695674601,1.0065417297126613,1.006285009091036,1.0647442740246362,1.0379121491605254,1.0104271293049822,1.0014060964193876,1.0009352047544138,1.0005936792974293,1.0009774040427601,1.0001511476072307,1.0004967652005197,1.0000566215021973,1.0003371647827677
13000,1.0020367671334827,1.0057498501641413,1.0055004135083063,1.067734892064227,1.039932968093329,1.010182611415925,1.001396329198901,1.0008835372392297,1.0005332655969068,1.0009600993270482,1.0001304185204187,1.0004496583936084,1.0000544367205226,1.0003215062152375
13250,1.00207591140015,1.0056871482681233,1.0054716304663833,1.0650646224650122,1.0413325007465895,1.010154712302265,1.0016132183729665,1.0008478588680536,1.0005361537570017,1.0009280025663716,1.000153274366264,1.0003849844199517,1.0000575608385702,1.0003622827778555
13500,1.0018047878798195,1.0055218868344868,1.005330725483881,1.0593772789125466,1.0424966116434977,1.0094244351254387,1.001644330260171,1.000815409548912,1.000503446955162,1.0008963251353182,1.0001546865988493,1.0003374558084095,1.0000684591613924,1.0004001799654259
13750,1.0013390861069902,1.0054033060750467,1.0051988426065763,1.0543981885920828,1.0418108377513813,1.0087813434197908,1.0015284552939092,1.0007817202205889,1.000495042463565,1.000709082927661,1.0001363824122544,1.0002654582700137,1.000085448205518,1.0003808619254833
14000,1.0011688330591813,1.005741858330014,1.0054096405958302,1.0513805562657441,1.0419480642000492,1.0080726137659621,1.0015444039643897,1.0007417609518277,1.000507634532116,1.0006620431027413,1.0000967013521813,1.0002934203488623,1.0001006961879102,1.0003541119203705
14250,1.0012604499967186,1.0052182763174138,1.0048669512281203,1.050540278296771,1.0414253843185572,1.0077015579554867,1.0014295193177876,1.0007260670929283,1.0004373436742588,1.0007167098385017,1.0000887200499962,1.0002962170910612,1.00010396011019,1.0003047194449701
