iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
250,1.016368818262718,1.1081032402997253,1.107693730621985,1.577580775213075,2.636041875205983,1.7609983049610505,1.026563171083112,1.0008673298968893,1.0049519787146628,1.003913908482777,1.0007395991655368
500,1.0119959904398201,1.046600296110274,1.0475530210360662,1.577356501405179,1.7229547430096852,1.5849262494200211,1.0120617180950509,1.002353217461247,1.0048495539666495,1.0024057316393769,1.0005791943563636
750,1.0046129475863048,1.0290042094709255,1.029105272486055,1.5107945852567095,1.5073567814001971,1.1756317556614297,1.0059611649157016,1.0006652558451534,1.0022555248504468,1.0010296637381684,1.001109668423082
1000,1.0061752539549391,1.0238857936546262,1.0228406512847605,1.4283815936162574,1.5253491349845683,1.1334494402971367,1.006947309317425,1.0016110549367856,1.0010589369985772,1.0007760187837784,1.0003017508187657
1250,1.0017415440877908,1.0185556009419932,1.0194424303686218,1.3276788378232556,1.4705982261721426,1.095212457559008,1.0076832713220223,1.0007896563045875,1.000571822085994,1.0003087981972008,1.0004476760416827
1500,1.002368157016609,1.017890947614865,1.0182469247232397,1.2011934211946034,1.4644673912813841,1.0746360410278462,1.0090352207208766,1.0007939825934056,1.0002680677563676,1.0006648405239618,1.0004854148216358
1750,1.002502868149285,1.0122938791008862,1.0121261831983779,1.1353111655066526,1.4697576055533876,1.0601894526351008,1.0055420843826657,1.0010925818760221,1.000425789889931,1.0000837273537775,1.0001091872099932
2000,1.0017079761652916,1.020541892656447,1.020945093015022,1.0914607837461126,1.4271597830116083,1.052739989503632,1.0043849394938924,1.0011352187625042,1.0000806335103603,0.9999777416338735,1.0003132360180407
2250,1.0012703386578592,1.0120400353622336,1.0122839514529758,1.0780799557786365,1.368553194311477,1.0405063484816934,1.003858199843725,1.0008619762893203,1.000308104859989,1.0002057768248567,1.0001301848264714
2500,1.0018436438631055,1.0088655048641333,1.0091258614278358,1.0758720250101481,1.3372568390699284,1.0265510672192721,1.0046155551977893,1.0008636050385504,1.0000633613453278,1.0002170614950863,1.0001940141275276
2750,1.0015738975808375,1.0095446640657215,1.0098835101896422,1.0674848364503178,1.3260329483613502,1.0269799061601224,1.0039942989920945,1.0007324705084848,1.0000194089349592,1.000150621781643,1.000204866177047
3000,1.0020910113486614,1.0067176644218623,1.0069772887618254,1.0675445613937482,1.291889272708566,1.0243236090663796,1.0039098804734448,1.000752786703334,1.0000784046061129,1.0001538568728,1.0001050806346146
3250,1.0022657850414398,1.003392789252172,1.0034848268040628,1.0797222354049651,1.2872680872962114,1.0175066418799354,1.0035515521268896,1.000777352911381,1.0001113647231366,1.0001496748761367,1.000038225488827
