iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
250,1.010700514507145,1.1342067392562332,1.1430261522783305,1.9084054421522822,3.331425798601104,1.5129707950160647,1.0370293176437204,1.0016458936731512,1.0033109146248433,1.0024381595909935,1.0036292700165144
500,1.0153592342336815,1.0987208822154617,1.1028199223140935,1.5813176251707846,2.5446626632670157,1.4538247941333768,1.0455938627191652,1.0047998466977905,1.0029385255172927,1.0011297325341715,1.0010280007506107
750,1.0098747636644203,1.0422451662817187,1.0437967429831743,1.565134104926338,1.842872177576202,1.1876418389996912,1.022176200957378,1.0040127331635373,1.0003461975695507,1.0018775366359518,1.0014525012368436
1000,1.0050522842451155,1.0351276391000244,1.0330118264499453,1.4842758207850555,1.508035605652435,1.0973936102127453,1.0186786389574798,1.0017246202688121,1.0001028241879542,1.001474397596461,1.001094244221318
1250,1.0046852012567136,1.0200073544969999,1.0206053168790883,1.3060955243663885,1.3767349549224264,1.0738205466669979,1.0099002185059305,1.0010179834579864,1.0005320340235235,1.0010011607663434,1.0004374616690122
1500,1.006583730664968,1.0249836449223773,1.0279023167245982,1.245605648832489,1.2389054822683214,1.052310139069623,1.0078494357535361,1.0013772897074287,1.000617996723914,1.000633016419307,1.0002905174917605
1750,1.0054582268186274,1.02011016881461,1.0228620737137506,1.2230186152494067,1.1484892525131531,1.0576171016891713,1.0077249442038387,1.0008578426081483,1.0004319029369269,1.0003205274869846,1.0002351302656347
2000,1.0044546992437406,1.0183784628716108,1.021333088473601,1.1476047425397058,1.1065745305953347,1.0505826715948061,1.0083434589875375,1.0008566197710103,1.0004630896730733,1.0000532960095423,1.0000209447949149
2250,1.004309686819007,1.0237245748209478,1.025907047369306,1.0993845333419001,1.0982192746927415,1.0392777233723947,1.0068799332424796,1.0006320886078872,1.0005203037337487,1.0000833027270322,1.0000331645702794
2500,1.0044116089047814,1.0204129909029793,1.0220659145632516,1.0886593874965877,1.0869459376893034,1.036729913858146,1.0051550482310745,1.0005803649282246,1.0004762391108164,1.0001475769087107,1.0000096901205793
2750,1.0037607556519574,1.0143321428577023,1.0154114347201235,1.0800639472123532,1.0733113204819604,1.0319561360060543,1.0046846746535998,1.0005596368548364,1.0003645726079369,1.0001080293767963,1.0000399625768495
3000,1.0040054219631958,1.019103144960712,1.0202664245221367,1.056731404609106,1.0702531681578535,1.024963510182047,1.003221807970948,1.0003717960909762,1.000512680956411,1.000258399471677,1.0001502468476733
3250,1.003871094989267,1.0210519834737186,1.0217872006530986,1.060783339917026,1.0688553724383645,1.01973395293941,1.0033383309408437,1.0003686338512991,1.00041590687562,1.0002107665688387,1.0000856562575942
3500,1.0035812682563452,1.017426455099011,1.0181796730170118,1.0636959476331889,1.068029416745889,1.0152123779639233,1.0029521621405855,1.00043608207729,1.000363837212776,1.0001837916515504,1.0000998041896616
3750,1.0031322822335873,1.013725805430258,1.0140516392099983,1.0615978326235291,1.0511578476947727,1.0130278438652038,1.002701039305779,1.0003398865948854,1.0002343597147803,1.0001426216190776,1.0001439068486642
4000,1.002353001745334,1.0117315059941108,1.0112421324146974,1.0498754292059647,1.040313713287266,1.0146763087790813,1.001933823236141,1.0002470003939221,1.0001563088578498,1.000138070388354,1.000106031031754
4250,1.002260986165034,1.0109127386188939,1.010172840551712,1.0414976537596032,1.0299477888613726,1.0147078459483383,1.0020421408286504,1.0002433057629057,1.0001268346439935,1.0001762576596467,1.0001770785048913
4500,1.0017281474266675,1.0105597657969903,1.0101804421225558,1.0435193836168917,1.0260839203264382,1.0115940635309884,1.0017940354728827,1.0003131702898354,1.00006326681329,1.0001066547681416,1.0000935978754808
4750,1.0014396869368265,1.011895105443097,1.0115965903355466,1.0458971056602178,1.0300340114244513,1.010036124875662,1.0015252307597424,1.000335718582655,1.0000619465612373,1.0001463387585676,1.0001041662586065
5000,1.0012637179242008,1.0120363994680022,1.0119874215197107,1.0446952886853058,1.035902765292651,1.0084403426190003,1.001952905951562,1.0002703199558163,1.0000379674898239,1.000169611847612,1.0000844078046804
5250,1.0015177860011792,1.0091716498663605,1.0091132812454493,1.0392535583106097,1.041497180000358,1.0080810350636282,1.00169235504878,1.0003153058462562,1.0000815259827418,1.0002990724411844,1.0001027438787675
5500,1.0018671450030032,1.0072114917819517,1.0073648306522534,1.0340765188033345,1.0445024661850006,1.005632360383384,1.0012656295399764,1.0002641527551674,1.0001413308249605,1.000349980016164,1.0001216696896242
5750,1.0015456974234476,1.0054507756201356,1.0055974585563288,1.0338589256373802,1.0436393113670137,1.0059042985679956,1.001237435890479,1.0003114122494825,1.0001478389306682,1.0003256168355084,1.000111416662591
6000,1.0009228206033327,1.005098659033494,1.0054405826688815,1.030469534182803,1.0469023048444177,1.0077212827746758,1.001026324214215,1.0002376602343197,1.0000760637035548,1.0002417263598276,1.000103148884141
6250,1.0006574561006596,1.0049729909358593,1.005404828477173,1.031298954048178,1.0441351602146594,1.006081785256772,1.0007367297889445,1.0001961704182445,1.00007011239858,1.0002253078983865,1.0000690075518688
6500,1.0007024944868843,1.0044654898093823,1.0048645209041838,1.0336641730267186,1.0382814985317388,1.0055470749714774,1.0008606184864581,1.0001602022459903,1.0000745458821516,1.0002305605793986,1.0000620488006422
6750,1.0007647398045139,1.004518498080918,1.0048472757186997,1.0291499728363618,1.0327183606251893,1.0069782321982776,1.001022157408897,1.0001411627743397,1.0000800370262715,1.0002373215957352,1.0000722565045201
