iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15,omega_20,omega_25,omega_30,omega_35
250,1.0312737355924573,1.1188507162860264,1.1153838469439064,1.9211065552525388,3.915618350514541,1.0465636819341961,1.009692077972304,1.0021711647500318,1.002313352545489,1.0002750720341507,1.0006685547353642,1.000008978351073,1.0031868895097138,1.0025096910703244,1.0032397452487292
500,1.0315279530967891,1.0603605854405753,1.0606511383674089,1.1814829727513554,3.3098746848570073,1.0400954361825285,1.0041645967865602,1.002005301069955,1.0007095062000244,1.0005557264131366,1.0013026100960087,1.0014634659706674,1.00410632851049,1.0035618290366126,1.0047372649468993
750,1.0119574361673207,1.0410825530190015,1.0386522469721027,1.1392375348416366,2.234104366347934,1.0365808021156786,1.0014491955268214,1.0004997105054996,1.0005024466780508,1.0005011149441811,1.0002346465319658,1.001430215616349,1.0026127957834667,1.0025732368224043,1.002736895269064
1000,1.007639944733422,1.0319010073944141,1.028580519339716,1.1356205200721665,2.0238785784714706,1.0276224343864013,1.0011112932386563,1.0006773637368322,1.0004413889904193,1.0006605020182335,1.000400805964714,1.0019374726878167,1.002157765599619,1.0016395104849902,1.0018496335898825
1250,1.0045355735123678,1.039566439143739,1.0339481295066377,1.1641275145068926,1.846246226626412,1.0212939695634073,1.0020056383326776,1.0002526862378007,1.0002408423108473,1.0003464259717636,1.0002445699221272,1.0017513278474353,1.0010013003918983,1.001738260249568,1.0011530774212196
1500,1.0063250646556203,1.034447068839266,1.0290200998942316,1.1677174856208326,1.5009544097459198,1.0172672469936075,1.0027081882536906,1.0006217023695514,1.000172237281409,1.0004151910374475,1.0004938798498995,1.0012954666275296,1.0009062979622865,1.0010609085898845,1.0011145461425197
1750,1.0038550881688575,1.0254423352660436,1.0225499879264373,1.1734764876876238,1.3221284088955236,1.0114330667769178,1.003780973427486,1.000314135150759,1.0001853337155449,1.000257941797737,1.0003734872527243,1.0009808771361282,1.0007186811723905,1.0008536075262378,1.0005178543966329
2000,1.0042866025964878,1.0313665629561002,1.028856346290271,1.1996357534953814,1.2572639383102024,1.0054655104248815,1.0024043123285198,1.0006313937198315,1.0003070053244179,1.0003421272718218,1.0008594912364674,1.0012426148227738,1.0009759058651138,1.0008747514055234,1.0006941206640732
2250,1.0027670660010455,1.0281807191503987,1.0260462154952659,1.1949428364588286,1.2208762160743643,1.005638262516042,1.0027734006570042,1.0007247852207828,1.0002400926425044,1.0001575467414938,1.0006284942725587,1.001029846762348,1.0006489915507895,1.000746256084734,1.0005466595191752
2500,1.002735419683669,1.025236591391534,1.0249048813562607,1.179562015093102,1.2355789027883066,1.0146908941074266,1.0017339280630193,1.0005512105555014,1.000188963365918,1.0001677324414326,1.000699752694586,1.0007387220818982,1.0007257899742077,1.0008286577156709,1.0008389777857833
2750,1.0029688667670584,1.0198464867282158,1.018820890779291,1.1557224544259914,1.2636983143608385,1.0133134055766106,1.0026643574326466,1.0006073095233254,1.000092381840866,1.0001214659700524,1.000727499606458,1.001012711114235,1.0008599508228921,1.0008923650629722,1.000850305494602
