iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
250,1.2682749404468718,1.2345434455609394,1.2212201974447132,1.6227752553044932,2.1915545777806433,1.1385224663844886,1.078414440479121,0.9990977931183697,1.0008521316121448,1.0190084765265282,1.0509375588099945,0.9985782453519491,0.9990068124861633
500,1.1538211696269094,1.0842004109783048,1.0828893707983522,1.5117006317295851,1.766693396052732,1.0496283864436569,1.0334895514274134,1.0003281019509784,0.9995812107495733,1.0177555050356262,1.0579618074245878,0.9994729274703881,1.0000393643381014
750,1.0705576466110078,1.0325617218083205,1.0304270343969741,1.5300637986612187,1.4979243036426817,1.0559911026442292,1.0263394554377565,1.0002003338805587,0.9996456677952141,1.0141774407045128,1.0297317745164096,0.9997847523445527,0.9999093038901921
1000,1.0642070388362599,1.046941030209302,1.0508905270459483,1.6247269394033892,1.3686010687175725,1.051722709132443,1.015766243662544,1.0003779928198382,0.9997720305154737,1.0090224681007307,1.0281984180487433,0.9998504904337291,1.0001379783132602
1250,1.0552834948209722,1.0316257958359698,1.031928047238313,1.5893203259340134,1.15043498590182,1.0298520609272759,1.0109272607896322,1.000526741658813,0.9998573185860347,1.0052863469387927,1.0171448291563987,0.9998601564739896,0.9999402463526815
1500,1.036941056658388,1.030796772720804,1.0308287306612618,1.5351880361688168,1.0964169241936708,1.021008673148644,1.0067746936835835,1.0003642388154095,0.9999491881493344,1.0043189443014313,1.008787717001956,0.9998790919153746,0.9999019829174719
1750,1.0341075905042014,1.0357352537414186,1.035472626873742,1.4187350525016529,1.102147480175833,1.022851212707598,1.005261545945355,1.0003376933695072,1.0006159817612488,1.0039123350187633,1.0072068438701909,0.9998559526982626,0.9999165223360084
2000,1.0355196288048722,1.0485922377693335,1.0455215742615898,1.350277762992921,1.1200450482406916,1.0183257384396964,1.0049996693610674,1.0002949183758403,1.001122388393311,1.0038963361320254,1.0062583587902187,0.9998583975319831,1.0000081992945256
2250,1.0304658783975624,1.0440344130537293,1.0410750964910864,1.3289151863985984,1.1151350653429284,1.0182316370449294,1.0034204107998037,1.0003374770160285,1.0009552293779749,1.0031489551728716,1.0057074372117827,0.9998881414354188,1.0000336196669048
2500,1.0245265449267371,1.0355478060581649,1.032241458018648,1.3211117763312306,1.106533176737821,1.019598007269563,1.002510911413121,1.0003031475070987,1.0007123576066286,1.0027970217066384,1.0038555097582886,0.9999058559128607,1.0000383216034376
2750,1.021997165621942,1.0393405933246915,1.0351265371300191,1.2658549587710708,1.111040106139434,1.030319229676392,1.002281035571924,1.0002359133620333,1.0006577293199521,1.001713317562354,1.0029119108556444,0.9999058286461671,1.0000802530384407
3000,1.0196259431839119,1.0332260985647326,1.0287835486072532,1.2117367427155203,1.1142818070498381,1.0362842829481849,1.0019956486344432,1.0001255400626818,1.0005611950075917,1.0021243422891892,1.0032637043011832,0.9999302624507186,1.0000559405772218
3250,1.0164307007836981,1.0286901492018503,1.0255787643175605,1.2030444553916,1.1146793140913611,1.0316403856746703,1.0016275947929565,1.0000382014042855,1.000545450276488,1.0020032387096935,1.0027234811304768,0.9999762137974545,1.0000418046094013
3500,1.0109731513494993,1.026684090600998,1.0255158064505465,1.1832603162303041,1.1123928872072921,1.0260739710305145,1.0011540003781856,0.9999857840030769,1.0004751441690927,1.0015530725063038,1.0018784315419533,0.9999841833526947,1.0000440945804874
3750,1.0080738208224702,1.0276506980767177,1.027395276820697,1.1724486649951105,1.1200516291052982,1.0251153402947928,1.0008953722353007,1.0000229375154925,1.0004931839718123,1.0012948150597416,1.0016375552775683,0.9999701470532264,1.0000215719371826
4000,1.0115614586042896,1.0272605438111553,1.0270685115557798,1.1645482901789768,1.1158876565238427,1.0199270645596357,1.000706366636414,1.0000037457115152,1.0005142266677556,1.0015144795543212,1.0021589729588471,0.9999745154363668,1.000042562079344
4250,1.0118698863109639,1.0224984775444783,1.0224871664361652,1.1477097020372615,1.114933284294838,1.0196867931769336,1.0008422886870032,0.9999976474607815,1.0004502058250548,1.0014003528734938,1.002107322985676,0.999974045378468,1.0000357591997608
4500,1.0137907542093891,1.0236385743299914,1.0236428854443629,1.146522660181156,1.112597282974558,1.0179110549752117,1.0008644352237552,0.9999735007574072,1.0004297760191228,1.001359088786453,1.0019951985925832,0.9999946163291343,1.000035714317828
4750,1.0149413389977036,1.0222091056443938,1.022119776200729,1.1396404001035323,1.0990657414709868,1.0141516880522872,1.0007936901133043,0.9999952651892867,1.0003907976737252,1.001389821917443,1.0024083376989172,0.9999886754292324,1.0000301625715597
5000,1.0132142644122633,1.019226801527313,1.019343871552962,1.1287082823875418,1.0845594794078972,1.011563078575898,1.0006697670951439,1.0000003880022992,1.0003763575256608,1.0012669672864627,1.0020731374081793,0.9999915164088609,1.0000367074536534
