iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
250,1.413424078361795,1.4613141266953964,1.4947542751851473,2.0076511778424,2.1464651568503936,1.6526572590252608,1.0625860703390309,1.0014894090400093,1.0233974445146556,1.0112925784978406,1.0330258647866497,0.9990326125558403,1.0023589706440803
500,1.169320666801532,1.1576595864488781,1.1600390547461366,2.0504540234433906,1.775414914311335,1.1916380937270559,1.0211255707349596,1.000181882036293,1.006943849929034,1.0139683914701285,1.0296877213179674,0.9996228497414902,0.9998678287995664
750,1.092958597346956,1.0825317848242355,1.0806283076524656,1.8933460582485733,1.4269113830276026,1.1301724229513086,1.0166835180501121,0.9995574500529453,1.0032839187268936,1.0091543518176718,1.0143223494458895,0.9996913328903785,1.000129356076217
1000,1.0407579670347233,1.0382524067853107,1.0376030474029727,1.4492055507721129,1.2501895822856552,1.0992684032055,1.013322861498593,0.9996812186398327,1.002467888844161,1.006343916650139,1.0090418212974217,0.9997478220536787,0.9997143987762974
1250,1.0183544575723276,1.0156438151119749,1.0158509100891717,1.3527117710699823,1.2268365556767216,1.0854295689845415,1.0095556809972972,0.9997041876922527,1.002554738989695,1.003593898515745,1.0069683655575816,0.9998458153376065,1.0000169140141864
1500,1.0147803774999926,1.0141393938126104,1.0152569529784359,1.3266092733665173,1.237210651348329,1.064900584634748,1.0067531760321375,0.9998610243776004,1.0015201372959222,1.0019258054718985,1.0035841073235823,0.9999045073234334,0.9999787674605723
1750,1.0220666691241367,1.0240188283062417,1.0251669069339802,1.3091049684275549,1.2503624411909315,1.0564678688516758,1.0051006004964236,0.9999162826203474,1.0012275392370926,1.0018925436723676,1.004278429337085,0.9999970577534283,1.0000961504147312
2000,1.024680136835327,1.0237367176328693,1.0257881409563072,1.269397446037228,1.2804376111173519,1.0490163299249242,1.0044554865655186,0.9999850284731852,1.0008725521799542,1.0017180700521848,1.0033312449859335,0.999860526828639,1.0001962231551254
2250,1.0230152987104535,1.0218625429817554,1.0236451523066143,1.2062595914097047,1.3211782973508526,1.0447726731556,1.0032304809694637,1.0000029573916762,1.0007463852117482,1.0018401524321496,1.0037036224742708,0.9998640095770307,1.0001989565410987
2500,1.020863148293363,1.0198270313615085,1.0215863331845019,1.1733586458844412,1.3171180316130273,1.046563864399183,1.0024429102297583,1.0000520129397927,1.0006162433755559,1.001464161384977,1.0036612511002905,0.999944563551231,1.0001844064746725
2750,1.0200571617354568,1.0274836258915776,1.0287251607192036,1.1581267909209116,1.2616651097978697,1.0410305072772998,1.0022810803605826,1.0000130637246363,1.0005247722020754,1.0013450985815122,1.0033931549564366,0.9999648515315925,1.00011212882556
3000,1.0182023164186589,1.0237336322418942,1.025583783094166,1.157656572905645,1.2620744919802094,1.0330225356287863,1.001458462786044,1.0000074187395398,1.0004288086589959,1.0013587351420996,1.003150879043055,0.9999562744545973,1.0001213273311549
3250,1.0162414227082102,1.023140782673693,1.0248547322177537,1.1598176866095002,1.2515381354507695,1.0292248582650105,1.0011095225928015,1.000071438466156,1.000350625341253,1.001230545888228,1.0028984383440207,0.9999451271768669,1.0001483149752
3500,1.014513793270851,1.0198889166007143,1.0214323363629367,1.1493400437728845,1.2291202482697494,1.0293865097512025,1.000737285184674,1.0000842693506737,1.0002547275438824,1.001196081431101,1.0029601170447096,0.9999466006786026,1.0001334357805942
3750,1.0152452454164413,1.0200458611676362,1.0207310757552739,1.1381272290333624,1.194922885769531,1.0294449227424383,1.0008327384274427,1.0001008654906887,1.0002707508969337,1.0013702216399072,1.0032882409963215,0.9999562177252589,1.0001299929885077
4000,1.0146539752048367,1.0185767553090834,1.0184981339312598,1.1347024725519865,1.1713043519972692,1.024305949915377,1.000483830041662,1.0001163788107097,1.0002347379450662,1.0012739153905255,1.0030955872875011,0.9999921947342463,1.0001095248471275
4250,1.012678481195149,1.0146525693716133,1.0141993934653146,1.127851870306427,1.1437699105285806,1.0228891102411835,1.000517706038957,1.0001194333265455,1.0002550371430117,1.0009967420026953,1.0021727625975638,0.999989201990222,1.000133188663812
4500,1.0143611830920813,1.014567193389685,1.0142327857190034,1.1386055744365722,1.1213720874652666,1.0224229507353741,1.0003314406220796,1.0001090204238436,1.0002343765675248,1.0009108305707328,1.001922754485312,1.0000034285351118,1.0001686759646613
4750,1.0133804535013886,1.0130679421491815,1.0128005218198324,1.1459437375125554,1.1127121552192563,1.0209529003139808,1.0003584384763546,1.0000569821332388,1.000188834911339,1.000763829540351,1.0019399275919751,1.000007895624549,1.0001190576465457
5000,1.0101499745455476,1.010834872751578,1.0107051494357648,1.1439067725182719,1.1049468333931296,1.0201066403647334,1.0004671122526616,1.0000430189993137,1.0001237632171014,1.00068922995634,1.0019141755385115,0.9999968057052618,1.00009502670639
5250,1.0093552022810979,1.0102041043552936,1.010329345871514,1.1314302717409759,1.1032297541293594,1.018528973994327,1.0004218762239139,1.000025812832654,1.0001643497497312,1.0004305010613672,1.001414358486825,1.00001127855496,1.0001435893912844
5500,1.0093652145513448,1.0102624050213669,1.0104714421183025,1.1225797820910206,1.1011267238197662,1.0169133867746771,1.0003903011523205,0.999994808423679,1.0001482078559802,1.0004359778068346,1.0011545315721022,1.000011150174861,1.0001079400672588
5750,1.008548369851927,1.009903410232573,1.0101524789650367,1.1188557312857812,1.0980799955818847,1.0178642133335796,1.0005505465444644,1.0000260769263016,1.0001167115520972,1.0003414703994191,1.0010627567443762,0.9999888556796833,1.0000969373588677
6000,1.007573751646379,1.0084474944172224,1.0088309019386466,1.1174735018522468,1.0944734953728985,1.0157434719176126,1.0003730657139807,1.0000578819054708,1.0001043253877309,1.0003256199245028,1.0010077772728783,0.9999978607462858,1.0000959423771565
6250,1.0075195253776912,1.0086985599586304,1.0090242773858922,1.1079944837310989,1.0896422573819178,1.016653794107551,1.0004849737347787,1.0000699354038005,1.0000742985701463,1.0002643167148833,1.0010088997478317,0.9999931196536241,1.0000670677609107
