iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
250,1.2145554882903298,1.1295535327264816,1.125753044784753,1.5615768993463863,3.831656512266101,1.1723488343372004,1.0188602284979607,1.015088234690011,1.0000166356638676,1.0091768031008,1.0149034318740433,1.0008028133068971,1.0019408351399515
500,1.1425561000404163,1.0635740835994734,1.0609504868416109,1.4045106936073568,2.0341733142001415,1.1070673353353453,1.0172084050035746,1.0051011057202992,1.0019638465430731,1.001751433371417,1.006961338895432,1.0005488761752939,0.9999954123048806
750,1.121658167145917,1.1078912301847212,1.1084252944685604,1.4110116187301946,1.5830140578665641,1.0678035955625242,1.0088401341553546,1.0021977719068695,1.0011994969019655,1.00277933223928,1.0087343038575016,1.0000420336201512,1.0001903546117108
1000,1.0620176219881334,1.0643498333028771,1.0657762160408544,1.3706453088375556,1.318725111028713,1.0582416362372176,1.0078831322966237,1.0014475208302922,1.0011164481263157,1.0035878553166675,1.0070186360382674,0.9999047168003893,1.00021018386394
1250,1.0394504718592332,1.0431949090327457,1.0443007135202647,1.3113192289365885,1.2785890065916425,1.0403048492270077,1.0091063760160237,1.0003919224895124,1.0020561857961814,1.0027274059138327,1.006761960679254,0.9999484606734922,1.0002373840874341
1500,1.0330140193280293,1.0314818792762321,1.0312598727594446,1.286098475915829,1.2958286996621324,1.0321024482111085,1.0073073161277482,1.0001673866467167,1.0008657542384707,1.001792371650027,1.0061638953173,1.0000240745876061,1.000036836618898
1750,1.024953466069204,1.0220958616154905,1.0218507395524417,1.2568517338662109,1.3187676726967374,1.0319311424592414,1.006070907502177,1.0001083536944684,1.0007775568559916,1.001182902094638,1.0037761870859443,1.0000902430991816,1.0000584936692076
2000,1.0161933696774184,1.0137737789346273,1.0137506219396997,1.2225208033882136,1.3040431393752403,1.0330797502021964,1.0045287773695695,1.000101860173493,1.0005876145521495,1.0005916084610134,1.0017486587199789,1.0001836736583807,1.0000017646039208
2250,1.0128001854527235,1.0115822564540369,1.0119561471745122,1.1850777042430185,1.294974335933557,1.035315393371778,1.0037705588183037,1.000336537772818,1.000371861071659,1.0006480155421997,1.0012622366977086,1.0002627703202842,0.9999538409080765
2500,1.0109557403068874,1.0096071720322397,1.0099989251718122,1.1642935984399436,1.2541971305688768,1.0184328243438574,1.0044652803539627,1.0003267887826386,1.000278726510178,1.00071306849939,1.0003938137092427,1.0001856215669092,0.9999430474648845
2750,1.0098537263026333,1.011028681932585,1.0120387703764835,1.1470064000434417,1.2306906515994374,1.024692353731958,1.0039502647072756,1.0003354869965533,1.000213997053536,1.0007442604228638,1.0003322749550416,1.000140407638339,0.9999939966632212
3000,1.005242978200485,1.0079243824632174,1.0081525762679038,1.1216942409606838,1.2200684556657204,1.0282391053851148,1.0024695472031913,1.0003047289271059,1.0001375177250704,1.0005197774937944,1.000159133788681,1.000089736957541,0.9999698011811606
3250,1.004974011250418,1.0084838790960255,1.0082757895882561,1.0934127314950415,1.2336991476281338,1.0459668980963712,1.0015386025275756,1.0004132942324098,1.0001383122647238,1.0010732357284144,1.0003125059732871,1.0000065979099442,0.9999495194179927
3500,1.0025251757666003,1.0079817511378915,1.008238389523246,1.0524542588068515,1.2303505424618324,1.043916424975226,1.0019769666227836,1.0006484865649456,1.000129241108183,1.0011302831445286,1.0004399978912772,1.0000030850301982,0.9999773626971069
3750,1.0023659294908627,1.0061021554380554,1.0063170943251656,1.0366306223047812,1.2218361176022536,1.0342374571441366,1.0024733472615128,1.0005623392554142,1.000101850250963,1.0009077550819792,1.0004790023664312,1.0000077670392808,0.9999728809414663
4000,1.0069118489455,1.0067603786338628,1.0071483222118673,1.036260805636961,1.2010341716860622,1.0277936343739764,1.0023443980615043,1.0004377520921839,1.000152538238365,1.000787805761497,1.0005884587923255,0.9999946053809351,1.00000276382698
4250,1.0082411304846832,1.0069351185262718,1.0072444410176788,1.0433894996609399,1.171405085222538,1.023174160205581,1.0020372992266102,1.000516819372779,1.0001584759799065,1.000904179553896,1.000946946007176,0.999999516432951,1.0000721530514012
4500,1.0057014223012912,1.0058594360917876,1.005849659671942,1.0482673758635437,1.1418742686366183,1.0202083240490396,1.0025828614333878,1.0005769938698692,1.000143810608379,1.0005970850872268,1.0008130393246726,0.9999964771346901,1.0000597048334476
4750,1.0073718499600737,1.0043416607413473,1.0044584158061014,1.043535956668436,1.1221373099077785,1.018699005638667,1.002206120300502,1.0005403817026435,1.00018665600143,1.0004521543464857,1.000666270333867,0.9999897769132637,0.9999958080225215
5000,1.0090291247076457,1.0104152377461695,1.0104168106524378,1.0405213012690337,1.1105743982534395,1.017780051278229,1.0019471383840384,1.0008230497735253,1.000266832327687,1.000434113409826,1.0004111075354343,0.9999854602846536,1.0000025742350171
5250,1.0075714605758144,1.0100580965418335,1.0101714000468731,1.0456780236527423,1.1006717671873252,1.0169894201764142,1.0019436045927808,1.0008406529001184,1.0003111331712489,1.000517006823712,1.0004688150602645,0.9999890291965018,1.000011483862731
5500,1.0070070453504518,1.0107515352186496,1.0109825656882008,1.0494576094820558,1.1020363742906436,1.014960630956235,1.0014779108320526,1.000809555702745,1.0002528447617074,1.0007958649178936,1.0004288296464265,1.0000078052942987,1.0000089922920232
5750,1.0069041198672568,1.0094394370115916,1.0096393970221698,1.0475183548866334,1.1056547792147076,1.011676286641956,1.00134123528251,1.0007866945637738,1.0001904893091778,1.0008921518174931,1.000488587812304,1.0000259545022219,1.000029865780952
6000,1.0060488667825322,1.0088932638959496,1.0090793603905426,1.0435060401776706,1.1123989853145404,1.0107789904350162,1.0015009194069369,1.0007558387792164,1.0001514188336273,1.00081036587518,1.0006365900745333,1.0000423903909132,1.0000423981903228
6250,1.0067989189524986,1.0088042262435264,1.0087695994720525,1.0408333350830148,1.1181176664851848,1.009112702174734,1.002002575220317,1.0006485198604145,1.0001018759300875,1.0007120413020079,1.0004398320455385,1.0000181884677903,1.0000419588722946
