iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
250,1.0977498032741506,1.1288028851149898,1.1202957107269995,2.260856040859489,3.525985831229747,1.3940912807574297,1.0244335277382919,1.008303846657206,1.000156185431208,1.0033296601657327,1.001072094067548,1.0010230603224939,1.0067120828470135
500,1.0551638670059533,1.0552568666634359,1.057103136721526,2.022819182712547,1.9731611513261011,1.1226674104372751,1.0181117614696242,1.002930619534493,1.0014507380745234,1.0010900567466807,1.0006099532694084,1.0022264936954794,1.002100091281835
750,1.041213831540177,1.0406898967431273,1.0381814849949476,1.5734289555946495,1.7878999767784094,1.0802489161188442,1.0073575804293524,1.0001775793998386,1.0011271596304634,1.0005036710971993,1.0008966049896149,1.003879978244785,1.003878769561956
1000,1.0335899056003253,1.0288081564159015,1.0282198977075574,1.336641779062902,1.600546163073899,1.083126342398453,1.0074206338543497,0.9998658611320927,1.0001838697714784,1.0007342649687463,1.0017819151847434,1.0050927833586272,1.0026895915341207
1250,1.0218032035666702,1.0141128241829278,1.0138301320298184,1.3024936753372107,1.34669026670717,1.0645667069607903,1.0049555300300212,0.9999455757758491,1.0001343245043994,1.0004048164983448,1.0012054658540384,1.0025254256625378,1.0026868005916278
1500,1.0229251870592435,1.0242845920380925,1.0248570715019063,1.313150136648903,1.3070143446250284,1.0458064760811459,1.0053432851703565,0.9999821692511396,1.00014078706349,1.0002764396951878,1.001136882245203,1.0027687160446346,1.001884486419595
1750,1.02309515442308,1.052573227903619,1.056601162580091,1.2514982172378373,1.3192104316091373,1.0304600175288323,1.0072461085251236,1.0000095293662605,1.0002479353715301,1.0003898314112085,1.0007785323870697,1.0035804352067266,1.0018895618649524
2000,1.0216888757458051,1.0768718793135537,1.0809306194801953,1.2139224525743642,1.3313386185451581,1.0225359178200737,1.0067808453944804,1.0000854581285226,1.0001523249475808,1.0004748423116714,1.0006475768615999,1.002898440870124,1.0017008175610826
2250,1.0213276630539931,1.0676056912590195,1.0717128793732376,1.1629895474258407,1.3145680870395375,1.032603028604393,1.0078687570176754,1.0000879629218746,1.0001465469691926,1.0003052673213928,1.0006868380119498,1.0025971777313643,1.001595380428156
2500,1.0284767769235845,1.0528470631925746,1.0552657645035213,1.1509128237002149,1.3043537406896408,1.031305990793033,1.0082648189513743,1.0000689570074683,1.0002228438752852,1.000121079932868,1.0006087596644342,1.0021511690044556,1.0022279932115383
2750,1.029700875550766,1.050730003902383,1.0514637065088772,1.138142043003073,1.2721057438841121,1.03020664960398,1.005750745066,1.0001241988755658,1.0002472450237703,1.0002832263756662,1.0007523540570706,1.0025613088464405,1.0020138192593393
3000,1.0279955504319418,1.0456715966650665,1.0459138953417964,1.138281806126587,1.2197027343675528,1.0214836342847573,1.0051545442991907,1.0001047610401335,1.0002963250818828,1.0002853133418521,1.000724577642185,1.0022857576851405,1.0016482328000578
3250,1.0221628358346704,1.0359317117912177,1.0360104189891712,1.153434861549116,1.1911480313899625,1.0199074213640178,1.0043837123389403,1.0000827815643227,1.000192576314404,1.0002352972975574,1.0005912211052688,1.0020585182309878,1.0011313187406292
3500,1.0220131531728247,1.0321608492976435,1.0317528213807015,1.146925363215302,1.1419059268504947,1.0252285879941379,1.0038915062819505,1.0000834723474206,1.0001475301532365,1.0002150644259549,1.0006362110659082,1.0019855742712445,1.0007847786463813
3750,1.0144201849509737,1.0264989127777855,1.0261662098038167,1.1307666961833702,1.1261810738954496,1.0235617153155139,1.0037160831632004,1.0000666383855012,1.0001016412097294,1.000168487309736,1.0004511975549832,1.001525474662311,1.0006474288900935
4000,1.017100401161664,1.0255146894291691,1.025126235789514,1.1142421543286258,1.121422439951331,1.022059467267774,1.0034782352932141,1.0000823279919926,1.000083258020004,1.0002441710254881,1.0005228232887726,1.0014011774847658,1.0006134831634788
4250,1.0167148328685898,1.0260469362112188,1.0258921411680562,1.0820993074945144,1.1218315527055822,1.0224105581674172,1.0033069400276526,1.0000673156627906,1.0001020952353865,1.0001942436890252,1.0003899340602094,1.0012340421792947,1.0006057453748198
4500,1.015781536128568,1.024495512852268,1.0244129374561461,1.058050284427636,1.1200303569050687,1.020481352846147,1.0027377413983027,1.0000319064051437,1.0000592458362125,1.0001836314163777,1.000371797697248,1.0009228633435132,1.0005608628370537
4750,1.017362707713826,1.0272273522330546,1.026905673405838,1.0481383909737707,1.1201564740279337,1.021469543126282,1.0026783155245642,1.00000415097001,1.0000249290132897,1.0002519491490918,1.0005115515627172,1.000937826653523,1.0007385890141365
5000,1.0163067689639496,1.0255081621915934,1.0252829572677402,1.0436976608229902,1.1273912101444301,1.0225917918548426,1.0027295543853785,0.999979744989087,1.000021972738833,1.0002420166605213,1.0004501493210478,1.000864796318863,1.000581832370324
5250,1.0149582902902055,1.0246440277914786,1.0243934734956246,1.0477523961947304,1.133441108373153,1.021387657424011,1.0025674334515449,0.999993120897363,1.000020934450519,1.000232254596031,1.0004102451158254,1.0007808870968344,1.000501047368714
5500,1.0147071285350007,1.0234637143064658,1.0232634700376166,1.0514448691303016,1.1406909749084846,1.0202525856127678,1.00180713743639,0.9999999618637352,1.000005312698732,1.000236241376743,1.0004427357758707,1.0006926602646868,1.0005216223862878
5750,1.0140737528547323,1.0230396987367683,1.023311092791233,1.0534713614092197,1.1498373747039379,1.0176803371595438,1.002063349228548,1.0000086713422336,1.0000157904785787,1.0002280240034367,1.0004234599834014,1.000649068900623,1.000514512004543
6000,1.0140402700123237,1.0215464247908737,1.0220049812863168,1.0579321261095416,1.1518161329414065,1.018191385760426,1.0019786768611718,1.0000098628085756,1.0000077078181064,1.0002049328729339,1.0004301096843324,1.0006452169912234,1.0006681192061841
6250,1.0139809793356322,1.0194553957973684,1.0198617237650287,1.062048781547675,1.1560732642577434,1.0186392578401697,1.0018518047494183,1.000011087881831,1.0000062705770099,1.000180341743328,1.0004643485902358,1.000662120897647,1.0006032143973373
6500,1.0134427455793975,1.0197729854834225,1.0202613504165816,1.0647228911359898,1.1562161247537086,1.018768108445043,1.0017407296454388,0.9999866178734658,1.0000560905695222,1.0001741470732297,1.0003654581889858,1.0006854607440072,1.0006672590303298
6750,1.011008483510136,1.0180846444855187,1.018476579720229,1.0700794311700084,1.1586700728124468,1.0178574700324265,1.001688381418617,0.9999818693814879,1.0000910907231335,1.0001257792567066,1.000293330075962,1.000652427329246,1.000602595690087
7000,1.0108865638876063,1.017263895327952,1.017715957203488,1.0711928521437148,1.15863861027506,1.0163474890882782,1.0014885776467783,0.999976499606977,1.0000728901677725,1.000114819223674,1.0002652749477425,1.0006114125656447,1.000594157692724
7250,1.0079108580202614,1.0141679117450833,1.014735630143173,1.06984045410888,1.1583656261189381,1.0163764132272832,1.0014522537239114,0.9999745415851597,1.0000748735544913,1.0001176117629973,1.0002573320124868,1.000473993055723,1.0004877241930603
7500,1.0074322055123852,1.0137699795374366,1.014383578562017,1.067762087787511,1.1527274829710399,1.0152293362076066,1.0013648543297737,0.9999674970665967,1.0000579021360088,1.0000963217151646,1.0002977663421642,1.0003761422506787,1.0004580830073893
7750,1.007218105652077,1.0135487565637682,1.0142682235055036,1.0666546459231228,1.1538528078050305,1.0140417767120469,1.0010812627277805,0.9999698389001271,1.0000576995547692,1.0000965587853723,1.0002701742184175,1.000398968001403,1.00044501262874
8000,1.0073925891409017,1.014149944947499,1.0147503866993568,1.0636797473760058,1.1489349749990752,1.0118117657124845,1.0009248034356417,0.9999662492811865,1.0000597022559023,1.0000633724607568,1.0002832106324642,1.0003721354765556,1.000471763841264
8250,1.0069483762900535,1.0139403285771915,1.014454038623148,1.0592338384700943,1.1419581431945467,1.0098427981371412,1.0006893421205465,0.9999661489997438,1.0000633075131917,1.0000690656240228,1.0002878953041434,1.0003170398454817,1.000488230648518
8500,1.0070151786116228,1.013955889960669,1.0144924193056508,1.0573338278163469,1.1331458049894638,1.012025778863458,1.0005288602220155,0.9999656212155419,1.0000556787115387,1.0000539566835558,1.0002559239543092,1.0003724046337503,1.0004282980721286
