name	description	leaves
sq1;size=4814083;	OTU mapped to Bifidobacterium breve/kashiwanohense/longum	
sq2;size=3651925;	OTU mapped to Bacteroides dorei/vulgatus	
sq3;size=2412753;	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Escherichia, Shigella	
sq4;size=2328586;	OTU mapped to Faecalibacterium prausnitzii	
sq5;size=2220352;	OTU mapped to Bacteroides dorei/fragilis	
sq6;size=1790282;	OTU mapped to Bacteroides dorei	
sq7;size=1525327;	OTU mapped to Faecalibacterium prausnitzii	
sq8;size=1459934;	OTU mapped to Bifidobacterium catenulatum/gallicum/kashiwanohense/pseudocatenulatum	
sq9;size=1334363;	OTU mapped to Bifidobacterium bifidum	
sq10;size=1332376;	OTU mapped to Prevotella copri	
sq11;size=1228070;	OTU mapped to Akkermansia muciniphila	
sq12;size=1158412;	OTU mapped to Enterococcus azikeevi/canintestini/canis/casseliflavus/dispar/durans/ENA07/faecalis/faecium/gallinarum/hirae/lactis/malodoratus/mundtii/olivae/pernyi/raffinosus/ratti/rivorum/saccharolyticus/thailandicus/villorum	
sq13;size=1127644;	OTU mapped to Blautia obeum/wexlerae	
sq14;size=1011218;	OTU mapped to Dialister invisus	
sq15;size=964855;	OTU mapped to [Ruminococcus] gnavus	
sq16;size=906722;	OTU mapped to Bacteroides uniformis	
sq17;size=860785;	OTU mapped to Bacteroides uniformis	
sq18;size=847232;	OTU mapped to Bacteroides ovatus	
sq19;size=777424;	OTU mapped to Haemophilus parainfluenzae	
sq20;size=738898;	OTU mapped to Eubacterium rectale	
sq21;size=680829;	OTU mapped to Bacteroides ovatus	
sq22;size=654794;	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Buttiauxella, Citrobacter, Raoultella, Enterobacter, Serratia, Leclercia, Lelliottia, Escherichia, Kluyvera, Cedecea, Klebsiella, Yokenella	
sq23;size=649275;	OTU mapped to Anaerostipes hadrus	
sq24;size=579437;	OTU mapped to Bacteroides dorei	
