iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
250,1.0574847126042661,1.0645678637748248,1.0636875134883295,2.5041799912092038,4.1069112313776195,1.3412636701179803,1.0420251804201672,1.0000698317313876,0.9998824274225258,1.0135152451161735,1.0086786515841457,0.998907272976736,0.9993353232813126
500,1.0225173520489879,1.0345896489051143,1.0383065094740804,2.078205112057182,2.445242152371303,1.2477306500162155,1.019378129334571,0.9998282501461373,0.9998009125215354,1.0040370084346493,1.0026635473411294,0.9996180709075401,0.9995712507965366
750,1.0167191266622586,1.0173505108444576,1.0284786690045815,1.6667737080545173,2.221923054908914,1.096105688615555,1.004048242663342,0.999712648335963,0.9996159987853198,1.0023990906456393,1.0012246147834816,0.9999727242979026,0.9998847881086628
1000,1.0269887332954108,1.0252546020669744,1.0262539819615244,1.505307375861968,1.709220233587177,1.0617566852994036,1.0045436996024268,0.9998848032646626,0.9997580207637669,1.0039018146045346,1.001604979850915,1.0005561882772265,1.0001814822533626
1250,1.0215038982619342,1.0245608897613567,1.0298374233587912,1.3959755258521482,1.6016032955737405,1.0441495062549384,1.003792145050225,0.9999504493494858,0.9998063384895746,1.003251766024121,1.0010431642577495,1.0002189699135828,1.0001276548528384
1500,1.0201606478410477,1.0282890201112023,1.0338157197797093,1.272571732005404,1.5732869143198498,1.0521549786463584,1.0039747626946385,1.0000375127170837,0.9997406501901843,1.0025207127129663,1.0005120922432549,1.0001885171439593,0.9998959281556726
1750,1.0196834164178583,1.0219641285739085,1.0266664451856087,1.2423037784398991,1.4676945045821144,1.034425962925204,1.0018732364491019,0.9999806679424298,0.9998002840005539,1.0020899447518468,1.0007264350145086,1.000125287111065,0.999958647619287
2000,1.0161852740587474,1.0213514857762696,1.023605057243125,1.260049565604816,1.4250881004895775,1.0267762536040654,1.001522498437233,1.0000720534432213,0.9998626302320823,1.0015091455434983,1.0006198148712075,1.0001284357777371,0.9999898787378202
2250,1.0131662189864243,1.0250611122558093,1.0266428164532664,1.234730415929734,1.3988206585821337,1.0240445317952567,1.0018842870120008,1.000100142438294,0.9999570211305567,1.0013495057880133,1.000441996331059,1.0000553286468397,0.9999650347242114
2500,1.0167449186797437,1.0191029617233562,1.020377039227225,1.1984612784575477,1.3577372577985007,1.0212619312410964,1.001628697891878,1.000108348180008,0.9999548289095327,1.0013974104609602,1.0005864420177102,1.0000712615428549,0.9999038049604075
2750,1.0110234334460095,1.0143392390855726,1.0150686741411616,1.1388272110992375,1.2724167273051177,1.0173631509143963,1.0016356146642382,1.0001027694914189,0.9999411036401543,1.0010042325417645,1.0007800455473739,1.0000267011440225,0.9999418839785648
3000,1.012457270652013,1.0169851512477697,1.016723422914074,1.121695713650906,1.2193469881280155,1.0158408581591138,1.0011932589087602,1.0000852656710197,0.9999708121244549,1.001090010249286,1.0008392804584298,1.0000737448655184,0.9999324610936553
3250,1.0138189500146275,1.0290813943584136,1.0286383183343242,1.1060157532850288,1.2065060664785152,1.0125764107426434,1.0007500901518562,1.000050460832864,1.0000237204454425,1.0013216717146767,1.0008418364934066,1.0000817892257037,0.9999242822504077
3500,1.0120526315582714,1.0257609040645326,1.0250678254648062,1.092747914706354,1.1946552938421757,1.0119071281379486,1.0008665328480901,1.0000655954343833,1.0000016622865096,1.0011671818397274,1.0007730939913047,1.000059495214196,0.9999598885978126
3750,1.0091816878940085,1.020723861372888,1.0199660947685216,1.0944419750826087,1.1784782340482645,1.0102326397762171,1.000971716178876,1.0000926368654075,0.9999879893550665,1.0010638648291172,1.00061462835614,1.000012919402396,0.9999584342952657
4000,1.0047006658808142,1.0158384635291424,1.0154112084444387,1.1065255847511728,1.164280669354565,1.0110736088890282,1.0012431616305022,1.000087251067935,0.9999886390661842,1.0009823265986157,1.0004141698427063,0.9999912254596895,0.9999902149084956
4250,1.0047551379036315,1.0150618313038833,1.0143751210620162,1.1083106893516397,1.1585623473733522,1.0106052485010875,1.000990108868966,1.0000539188440944,0.9999714880135953,1.0009002880599032,1.000390539069732,0.9999914105086003,0.9999988355570645
4500,1.0044097948738053,1.0124269664616747,1.011818465329521,1.109079232527675,1.1595395782515634,1.0100086444517213,1.0009412155088195,1.0000401042672085,0.9999503773044048,1.000904365318632,1.0004162156754437,0.9999912520695126,1.000010714357667
4750,1.0043216178474332,1.0117311674451879,1.0110419179959584,1.1017868037507357,1.1575949727831625,1.0189409355457435,1.0008840232448746,1.000025934938202,0.9999559728377738,1.0009471651508954,1.0004302499856215,0.999986374127644,1.0000221004499572
5000,1.0041574033869585,1.0112755872780796,1.010355445821893,1.080897240488338,1.1538911356834067,1.0224216914292044,1.0007355630576258,1.000021472056901,0.9999605430777246,1.0008558230095703,1.000329844540061,0.9999718192789854,1.000041540414224
5250,1.0039880765508624,1.0100988351485978,1.0090928908436283,1.0701554297417748,1.1521757160562953,1.0229373477226265,1.0007343658065708,1.0000173821207121,0.9999605571636792,1.000738523379823,1.0003154234684026,0.9999910027273834,1.0000586276838126
