,group,mitre_ensemble_f1,mitre_point_f1,rf_f1,l1_f1,comparator_features_step3,comparator_features_step4,detector_pool_size
bdiet_benchmark,bokulich,0.818,0.64,0.526,0.154,25344,528,397884
bdeliv_benchmark,bokulich,0.21100000000000002,0.643,0.0,0.3,25344,528,397884
kn_relaxed,sensitivity,0.8,0.8,,,,,
kn_cv_high_b,sensitivity,0.833,0.833,,,,,
kn_cv_high,sensitivity,0.833,0.833,,,,,
kn_lambdal_high,sensitivity,0.833,0.7140000000000001,,,,,
kn_sigmal_ub_low,sensitivity,0.8,0.8,,,,,
kn_sigmal_ub_high,sensitivity,0.8,0.8,,,,,
kn_lambdal_low_b,sensitivity,0.833,0.727,,,,,
kn_lambdal_low,sensitivity,0.909,0.909,,,,,
kn_mul_variance_low,sensitivity,0.6,0.6,,,,,
kn_lambdal_high_b,sensitivity,0.8,0.7140000000000001,,,,,
kn_lambdaw_low,sensitivity,0.833,0.667,,,,,
kn_lambdaw_high,sensitivity,0.727,0.833,,,,,
kn_tight,sensitivity,0.727,0.667,,,,,
kn_cv_low,sensitivity,0.909,0.8,,,,,
kn_mul_variance_high,sensitivity,0.8,0.8,,,,,
david_noise_a_9,noise,0.8420000000000001,0.588,0.5,1.0,66184,1008,962638
david_noise_a_2,noise,0.9,0.737,0.632,0.8,66184,1064,962654
david_noise_d_7,noise,0.857,0.857,0.6,0.9520000000000001,66184,1152,986620
david_noise_d_4,noise,0.857,0.696,0.667,0.8420000000000001,66184,1160,989778
david_noise_b_5,noise,0.9520000000000001,0.833,0.526,0.909,66184,1096,977650
david_noise_c_0,noise,0.9520000000000001,0.7829999999999999,0.857,0.9520000000000001,66184,1192,1016208
david_noise_b_9,noise,0.909,0.7,0.8,0.9,66184,1104,989452
david_noise_a_3,noise,1.0,0.9470000000000001,0.667,1.0,66184,1016,936102
david_noise_c_8,noise,0.8,0.737,0.636,0.9,66184,1136,974662
david_noise_a_4,noise,0.909,0.6,0.526,0.9,66184,1032,956780
david_noise_b_3,noise,0.8420000000000001,0.8420000000000001,0.7,0.9,66184,1088,965812
david_noise_a_5,noise,0.9520000000000001,0.909,0.818,0.9,66184,1032,956784
david_noise_d_9,noise,0.9520000000000001,0.737,0.696,0.909,66184,1184,998494
david_noise_b_6,noise,0.818,0.526,0.636,0.857,66184,1128,980672
david_noise_d_3,noise,0.8420000000000001,0.8420000000000001,0.667,0.9,66184,1160,986704
david_noise_a_0,noise,0.857,0.8,0.545,0.909,66184,1048,986346
david_noise_a_8,noise,0.7,0.5710000000000001,0.7829999999999999,0.857,66184,984,941956
david_noise_b,noise,0.8420000000000001,0.706,0.4,0.909,66184,1144,1010254
david_noise_a,noise,0.9,0.556,0.696,0.857,66184,1016,944906
david_noise_d,noise,0.8,0.636,0.667,0.9520000000000001,66184,1208,977822
david_noise_c,noise,0.737,0.5,0.727,0.9520000000000001,66184,1128,968748
david_noise_b_8,noise,0.909,0.762,0.632,0.909,66184,1112,989450
david_noise_c_6,noise,0.8420000000000001,0.737,0.727,0.9,66184,1200,1019180
david_noise_c_5,noise,0.9,0.857,0.7,0.9,66184,1152,974838
david_noise_d_8,noise,0.8420000000000001,0.762,0.667,0.9520000000000001,66184,1184,971894
david_noise_b_4,noise,0.857,0.526,0.6,1.0,66184,1128,989488
david_noise_a_6,noise,0.9,0.857,0.5,0.9520000000000001,66184,944,927092
david_noise_a_7,noise,0.857,0.667,0.762,0.9,66184,1080,992390
david_noise_b_1,noise,0.857,0.545,0.5710000000000001,0.889,66184,1128,1001352
david_noise_c_2,noise,0.9,0.737,0.727,0.9520000000000001,66184,1152,986494
david_noise_d_5,noise,0.9,0.5329999999999999,0.667,0.9520000000000001,66184,1168,963012
david_noise_c_3,noise,0.857,0.818,0.727,1.0,66184,1144,992436
david_noise_c_9,noise,0.737,0.87,0.75,0.857,66184,1176,980760
david_noise_b_7,noise,0.9,0.762,0.696,0.9520000000000001,66184,1104,998432
david_noise_d_1,noise,0.9,0.8,0.87,0.9520000000000001,66184,1144,968838
david_noise_b_2,noise,0.857,0.857,0.526,0.9520000000000001,66184,1176,1019164
david_noise_d_0,noise,0.8,0.556,0.818,0.9520000000000001,66184,1200,998536
david_noise_a_1,noise,0.8420000000000001,0.667,0.5,0.9520000000000001,66184,1040,968694
david_noise_d_6,noise,0.909,0.762,0.8,0.8,66184,1184,962974
david_noise_d_2,noise,0.9520000000000001,0.636,0.857,0.9520000000000001,66184,1192,968874
david_noise_c_1,noise,0.9520000000000001,0.8420000000000001,0.6,0.9520000000000001,66184,1160,1010272
david_noise_b_0,noise,0.737,0.737,0.696,0.9520000000000001,66184,1128,1001306
david_noise_c_4,noise,0.9,0.737,0.667,0.909,66184,1192,998446
david_noise_c_7,noise,0.7,0.6,0.909,0.9,66184,1160,1007276
kige_benchmark,karelia,0,0,0,0,17646,1212,555896
knat_benchmark,karelia,0.833,0.833,0.833,0.909,18180,1248,570934
kdairy_benchmark,karelia,0,0.0,0.0,0.0,17646,1212,555896
kany_benchmark,karelia,0.353,0.621,0.4,0.556,17646,1212,555896
kdiet_benchmark,karelia,0,0.0,0.0,0.2,17646,1212,555896
kegg_benchmark,karelia,0,0,0,0,17646,1212,555896
david_benchmark,david,0.9520000000000001,0.778,0.7,0.9520000000000001,66184,1344,374848
david_benchmark.bacteroides,david,0.9,0.588,0.5,0.9,66184,2096,519954
t1d_benchmark,t1d,1,1,0.375,0.5,1520,224,12278
digiulio_benchmark,digiulio,0.833,0.833,0.222,0.0,1551,23,3516
