,group,worst_convergence_statistic,convergence_ok
diet_correcting_for_delivery,bokulich,1.0275028562590125,True
bdiet_reference,bokulich,1.0282902569990902,True
delivery_correcting_for_diet,bokulich,1.038485189221373,True
bdeliv_reference,bokulich,1.0310616366878549,True
kige_reference,karelia,1.0317315707344217,True
knat_reference,karelia,1.0432774162813063,True
kdairy_reference,karelia,1.0682242685639818,True
kany_reference,karelia,1.036138676236007,True
kdiet_reference,karelia,1.0237071075598336,True
kegg_reference,karelia,1.0614861075568456,True
david_reference.bacteroides,david,1.0114185532591684,True
david_reference,david,1.0135298652625957,True
t1d_reference,t1d,1.0060420538729946,True
digiulio_reference,digiulio,1.0334597042882494,True
