,point_q1,point_median,point_q3,ensemble_q1,ensemble_median,ensemble_q3
kn_relaxed,0.727,0.8,0.833,0.727,0.8,0.833
kn_cv_high_b,0.667,0.833,0.857,0.8,0.833,0.909
kn_cv_high,0.833,0.833,0.857,0.8,0.833,0.909
kn_lambdal_high,0.667,0.7140000000000001,0.727,0.8,0.833,0.833
kn_sigmal_ub_low,0.769,0.8,0.857,0.8,0.8,0.909
kn_sigmal_ub_high,0.7140000000000001,0.8,0.833,0.8,0.8,0.909
kn_lambdal_low_b,0.7140000000000001,0.727,0.8,0.8,0.833,0.909
kn_lambdal_low,0.8,0.909,0.9229999999999999,0.909,0.909,0.909
kn_mul_variance_low,0.6,0.6,0.7140000000000001,0.6,0.6,0.769
kn_lambdal_high_b,0.667,0.7140000000000001,0.833,0.8,0.8,0.9229999999999999
kn_lambdaw_low,0.667,0.667,0.727,0.8,0.833,0.833
kn_lambdaw_high,0.545,0.833,0.833,0.667,0.727,0.833
kn_tight,0.5,0.667,0.8,0.667,0.727,0.909
kn_cv_low,0.7140000000000001,0.8,0.833,0.833,0.909,0.909
kn_mul_variance_high,0.769,0.8,0.833,0.727,0.8,0.833
