iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_5,omega_10,omega_15
250,1.0190104978975143,1.3954925052290634,1.36451995188988,3.1109577314823524,2.4979821927953196,1.2185810485969675,1.036397519358832,1.0018794052949016,1.0013469366899537,1.0021177582077243,1.0026545112477976
500,1.013010037022303,1.1378137542880336,1.1184121892057812,2.708413496914634,1.7614950585525233,1.1457520878906136,1.006276936863035,1.0015705136601876,1.0009601196177995,1.001655495439534,1.0019273027770883
750,1.027446130983081,1.056328672050291,1.0550388726808586,1.8595166370505811,1.6057129464068538,1.0587445311227563,1.0016315131117635,1.0019155017221333,1.0013235821657611,1.0021442832413958,1.0026442216694793
1000,1.0145250034761926,1.047109264681387,1.0410264786738017,1.7255222715071274,1.399763175048613,1.0440786982694155,1.0018219651046034,1.0009711183693846,1.0010223346052525,1.0012473222871277,1.001748999276431
1250,1.0113932619353072,1.0304073194334327,1.0261178786428276,1.5773667908235638,1.2433206976040776,1.0328100422870126,1.0009143576270478,1.0005917089969494,1.0004648423843214,1.0007445987216508,1.0010892357902763
1500,1.0095170382850873,1.0183965824618797,1.016335068934627,1.4859148052629585,1.152879508388117,1.0167181249064738,1.0013775294007778,1.0004062078705351,1.0005893887239046,1.0006761006590763,1.0011156622500963
1750,1.007013441536567,1.0124462126787468,1.0119977123306427,1.4212090379332356,1.1083939695161829,1.0231471297045194,1.0008982100407409,1.0001937473113407,1.0006402759895312,1.0006059596932497,1.000863800914975
2000,1.0058502880057327,1.0097096631583078,1.0100447402390391,1.3624489607384953,1.104919120075812,1.0231851269211798,1.0013344285532746,0.9999718160767636,1.0004144708489482,1.0004980147826315,1.000661040613331
2250,1.0044201469901668,1.0061580898381355,1.0063266396655102,1.3334135043432798,1.1254726489495628,1.020447430598579,1.0014408230480063,1.0001127590626644,1.0002751948070683,1.0003985629978802,1.0003442826993936
2500,1.0042673585406146,1.006447869354529,1.0066593789170282,1.304465625866789,1.1462898301406053,1.022690570376686,1.001458296898649,1.0000951958288202,1.0002176311953797,1.000286799364631,1.000421622284864
2750,1.0037324046118945,1.016594189150612,1.0164342033368514,1.2572409188127809,1.1547869389388294,1.0200803274833197,1.001138265994569,1.0001957968410125,1.0002951917546887,1.0004062458360319,1.0004246703853048
3000,1.0028521128126964,1.010628576040444,1.0101572549176412,1.2224201914268693,1.1391664476969336,1.0204959118130914,1.001567074647628,1.000087158757274,1.0001471526315688,1.000256192911118,1.0002421606606833
3250,1.0028100042371233,1.0097540194263586,1.009160584673213,1.2016414886281883,1.1156983345754228,1.0212841624684548,1.0013191753079347,1.000108838886563,1.0000986898116018,1.0002923922946685,1.0002010037429818
3500,1.002469739460272,1.0118400745054263,1.0105190057841185,1.1911749293517133,1.1042822613249987,1.0189096683644288,1.0012189356109933,1.0001311836531144,1.0001075905625845,1.0002774012145808,1.0002185311362244
3750,1.0025705198178412,1.010965869506957,1.009780114831025,1.1687573510988776,1.0889502501873434,1.021556025700704,1.0014381762399334,1.0001505416786125,1.000116754205411,1.0002703740054615,1.0002429883751267
4000,1.0023543080866761,1.0118700547113681,1.010592614968173,1.134308558916397,1.0794573627967385,1.0218038180414009,1.0014312790826942,1.0001340518045414,1.0001618832393466,1.0002645866085889,1.000219503552129
